;symbol;baseMean;FoldChange;log2FoldChange;lfcSE;stat;pvalue;padj;description;;;
ENSRNOG00000069034;Znf624l;301.3244996;0.730403768;-0.453233886;0.121764634;-3.722212861;0.000197484;0.278792466;zinc finger protein 624 like;;;
ENSRNOG00000071035;NA;175.9578011;0.706491134;-0.501256639;0.134496537;-3.726911127;0.000193841;0.278792466;NA;;;
ENSRNOG00000003510;Fmo2;26.13208341;0.297709927;-1.748020766;0.476239947;-3.67046229;0.000242112;0.314446118;flavin containing dimethylaniline monoxygenase 2;;;
ENSRNOG00000014310;Tmtc4;608.8334544;0.766770466;-0.383133326;0.10528415;-3.63904087;0.000273655;0.314446118;transmembrane O-mannosyltransferase targeting cadherins 4;;;
ENSRNOG00000069543;NA;532.4718145;1.60529689;0.68284014;0.186903122;3.653444264;0.000258746;0.314446118;NA;;;
ENSRNOG00000017374;Prl;2.06146458;8.20E-05;-13.57324101;3.750062213;-3.61947089;0.000295206;0.320364129;prolactin;;;
ENSRNOG00000007637;Acer2;891.7614719;0.530830673;-0.913676359;0.257356393;-3.550237659;0.000384884;0.395700777;alkaline ceramidase 2;;;
ENSRNOG00000016957;Igfbp2;340.1892651;0.347899718;-1.523256584;0.436011155;-3.493618375;0.000476522;0.465418715;insulin-like growth factor binding protein 2;;;
ENSRNOG00000009005;Slco2a1;62.09089586;0.445886017;-1.165253139;0.337530342;-3.45229152;0.000555847;0.496516075;solute carrier organic anion transporter family; member 2a1;;
ENSRNOG00000020464;Mrpl54;550.8658218;0.822196385;-0.282445066;0.08185224;-3.450669947;0.000559197;0.496516075;mitochondrial ribosomal protein L54;;;
ENSRNOG00000012448;Chrnb3;8.547726522;0.057413657;-4.122462246;1.206574636;-3.416665759;0.000633931;0.515966666;cholinergic receptor nicotinic beta 3 subunit;;;
ENSRNOG00000046139;Syt14;1314.061882;1.203422677;0.267143448;0.078095747;3.420716989;0.000624563;0.515966666;synaptotagmin 14;;;
ENSRNOG00000015781;Ndst3;1532.265709;1.372956271;0.457285676;0.135171374;3.383006794;0.000716969;0.560210574;N-deacetylase and N-sulfotransferase 3;;;
ENSRNOG00000068089;NA;81.8631279;1.496175257;0.581279178;0.172377316;3.372132664;0.000745885;0.56038922;NA;;;
ENSRNOG00000028658;Olig2;681.8249689;0.641389034;-0.640728406;0.190832688;-3.357540114;0.000786393;0.568941003;oligodendrocyte transcription factor 2;;;
ENSRNOG00000019140;Banp;2021.017471;1.2285114;0.296911245;0.088817347;3.342942053;0.000828952;0.578312498;Btg3 associated nuclear protein;;;
ENSRNOG00000013577;Kdelr3;44.15791017;0.580248447;-0.785257338;0.238391909;-3.293976465;0.000987808;0.602994856;KDEL endoplasmic reticulum protein retention receptor 3;;;
ENSRNOG00000019342;Sult1a1;390.8745851;0.623942986;-0.680513889;0.206111728;-3.301674749;0.000961094;0.602994856;sulfotransferase family 1A member 1;;;
ENSRNOG00000023373;Sec24b;3688.543198;1.191034838;0.252215613;0.076294897;3.305799256;0.000947059;0.602994856;SEC24 homolog B; COPII coat complex component;;
ENSRNOG00000067334;NA;3.752012;4.49395259;2.167984905;0.657062812;3.299509372;0.00096854;0.602994856;NA;;;
ENSRNOG00000026644;Glipr1;9.764499861;0.331456589;-1.593108165;0.495239722;-3.216842456;0.001296097;0.723370524;GLI pathogenesis-related 1;;;
ENSRNOG00000046683;Lilrb3;27.12730384;0.489579265;-1.030385636;0.319375477;-3.226251574;0.001254231;0.723370524;leukocyte immunoglobulin like receptor B3;;;
ENSRNOG00000066269;NA;296.8342355;1.262677662;0.336486393;0.104556008;3.218240615;0.001289796;0.723370524;NA;;;
ENSRNOG00000017489;Gse1;2896.229199;1.237079495;0.306938211;0.096534415;3.179572907;0.001474923;0.773691369;Gse1 coiled-coil protein;;;
ENSRNOG00000048113;Cbx8;112.8468583;0.664226262;-0.590253331;0.185982602;-3.173701865;0.001505082;0.773691369;chromobox 8;;;
ENSRNOG00000056817;Muc6;88.74997023;1.879101619;0.910043088;0.286727965;3.173890239;0.001504106;0.773691369;mucin 6; oligomeric mucus/gel-forming;;
ENSRNOG00000010894;Tmem203;176.5199105;0.706555246;-0.501125724;0.158498342;-3.161709566;0.001568459;0.785596942;transmembrane protein 203;;;
ENSRNOG00000017765;Net1;998.6992727;0.704629058;-0.505064123;0.160432996;-3.14813123;0.001643179;0.802446501;neuroepithelial cell transforming 1;;;
ENSRNOG00000005600;Nr4a2;767.560509;1.614404961;0.691002513;0.220966161;3.12718703;0.001764876;0.80488657;nuclear receptor subfamily 4; group A; member 2;
ENSRNOG00000010417;Nol4l;3511.916407;1.167514875;0.223440931;0.072037285;3.101740015;0.001923868;0.80488657;nucleolar protein 4-like;;;
ENSRNOG00000011575;Adamts18;142.232705;1.715010457;0.778217373;0.249920863;3.113855173;0.001846601;0.80488657;ADAM metallopeptidase with thrombospondin type 1 motif;18;;
ENSRNOG00000016917;Clcn1;138.1606673;1.575430395;0.655746015;0.210969424;3.108251433;0.001881979;0.80488657;chloride voltage-gated channel 1;;;
ENSRNOG00000017258;Ica1l;1896.435119;1.145846209;0.196413424;0.063074301;3.114000801;0.00184569;0.80488657;islet cell autoantigen 1-like;;;
ENSRNOG00000020369;Igf2;822.3694009;0.305493876;-1.710784635;0.551904145;-3.099785804;0.001936606;0.80488657;insulin-like growth factor 2;;;
ENSRNOG00000043186;Ppil6;1250.288415;1.44606067;0.532128082;0.171337865;3.105723786;0.001898139;0.80488657;peptidylprolyl isomerase like 6;;;
ENSRNOG00000011647;S100a6;46.69809304;0.524757904;-0.930276103;0.302508101;-3.075210544;0.00210354;0.82553488;S100 calcium binding protein A6;;;
ENSRNOG00000014482;Slf2;3401.263931;1.17380034;0.231187031;0.074921889;3.085707461;0.002030685;0.82553488;SMC5-SMC6 complex localization factor 2;;;
ENSRNOG00000070930;Hilpda;151.6089345;0.766440696;-0.383753928;0.124844229;-3.073861965;0.002113072;0.82553488;hypoxia inducible lipid droplet-associated;;;
ENSRNOG00000005695;Mgp;198.3394662;0.633654395;-0.658231909;0.218102243;-3.01799697;0.002544514;0.887581179;matrix Gla protein;;;
ENSRNOG00000007441;Klhl32;1450.310035;1.211531603;0.276832038;0.091457683;3.026886626;0.002470866;0.887581179;kelch-like family member 32;;;
ENSRNOG00000011823;Tfap2b;46.68032735;0.402234786;-1.313890241;0.432561627;-3.037463706;0.002385781;0.887581179;transcription factor AP-2 beta;;;
ENSRNOG00000019118;Slc13a3;228.7413021;0.323549204;-1.627942966;0.539084372;-3.019829643;0.002529169;0.887581179;solute carrier family 13 member 3;;;
ENSRNOG00000054251;Clec7a;5.163051799;0.242123009;-2.046187912;0.677514495;-3.020138945;0.002526587;0.887581179;C-type lectin domain containing 7A;;;
ENSRNOG00000066450;NA;502.6547019;1.342114864;0.424508149;0.140513057;3.021129546;0.002518336;0.887581179;NA;;;
ENSRNOG00000003790;Mael;11.65705434;0.217852902;-2.198573764;0.738052131;-2.978886817;0.002892976;0.961248262;maelstrom spermatogenic transposon silencer;;;
ENSRNOG00000023549;Samd5;4036.318947;1.261871092;0.335564537;0.112689047;2.977791942;0.00290333;0.961248262;sterile alpha motif domain containing 5;;;
ENSRNOG00000068204;NA;85.31359063;1.575927933;0.656201562;0.220216862;2.979797086;0.002884394;0.961248262;NA;;;
ENSRNOG00000000008;Alx4;5.710152971;0.174541503;-2.518357967;0.983620386;-2.560294603;0.010458346;0.999879841;ALX homeobox 4;;;
ENSRNOG00000000221;Abhd5;939.1689377;0.850023565;-0.234425258;0.093664655;-2.502814506;0.01232101;0.999879841;abhydrolase domain containing 5; lysophosphatidic acid acyltransferase;;
ENSRNOG00000000341;Nid2;148.332787;0.63487056;-0.655465615;0.289198006;-2.266494242;0.023421139;0.999879841;nidogen 2;;;
ENSRNOG00000000456;Psmb8;139.8454386;0.775151297;-0.367450167;0.166116806;-2.211998752;0.026966751;0.999879841;proteasome 20S subunit beta 8;;;
ENSRNOG00000000562;Prf1;2.827991276;0.271379986;-1.881613767;0.959422702;-1.961193708;0.049856431;0.999879841;perforin 1;;;
ENSRNOG00000000593;Rev3l;6240.358731;1.139666897;0.188612214;0.090679965;2.079976699;0.03752767;0.999879841;REV3 like; DNA directed polymerase zeta catalytic subunit;;
ENSRNOG00000000648;Jmjd1c;7034.69475;1.12040859;0.16402495;0.082588575;1.986048924;0.047027892;0.999879841;jumonji domain containing 1C;;;
ENSRNOG00000000886;Caln1;2803.038087;1.233248938;0.302464045;0.142311754;2.125362361;0.033556388;0.999879841;calneuron 1;;;
ENSRNOG00000000891;LOC102548389;1425.607658;1.218779861;0.285437566;0.111203994;2.566792399;0.010264404;0.999879841;zinc finger protein 709-like;;;
ENSRNOG00000000936;Stx2;846.5315866;1.286809908;0.36379895;0.167534184;2.171490863;0.029894087;0.999879841;syntaxin 2;;;
ENSRNOG00000001068;Rac1;3883.585489;0.911435868;-0.133786949;0.06414514;-2.085691105;0.037006613;0.999879841;Rac family small GTPase 1;;;
ENSRNOG00000001141;Srrm4;3380.547529;1.267591865;0.342090306;0.137536182;2.487275004;0.012872585;0.999879841;serine/arginine repetitive matrix 4;;;
ENSRNOG00000001243;Zcchc8;1133.285047;1.173232514;0.230488958;0.09137789;2.52237121;0.011656663;0.999879841;zinc finger CCHC-type containing 8;;;
ENSRNOG00000001273;Psmg3;844.3082764;0.833588302;-0.262593062;0.130683566;-2.009380911;0.044496753;0.999879841;proteasome assembly chaperone 3;;;
ENSRNOG00000001557;Cxadr;7719.288624;1.21466818;0.280562256;0.139898669;2.005467654;0.044913075;0.999879841;CXADR; Ig-like cell adhesion molecule;;
ENSRNOG00000001607;Adamts1;269.1521892;0.750352964;-0.414358699;0.185985638;-2.227906972;0.025886719;0.999879841;ADAM metallopeptidase with thrombospondin type 1 motif;1;;
ENSRNOG00000001620;Prdm15;1005.202266;1.171106264;0.227871989;0.109823905;2.074885146;0.037997181;0.999879841;PR/SET domain 15;;;
ENSRNOG00000001622;Impg2;90.93985936;1.478362271;0.563999844;0.236685269;2.382910637;0.017176363;0.999879841;interphotoreceptor matrix proteoglycan 2;;;
ENSRNOG00000001632;Brwd1;4255.068909;1.127707618;0.173393067;0.073352613;2.363829456;0.018087137;0.999879841;bromodomain and WD repeat domain containing 1;;;
ENSRNOG00000001713;Il13ra1-ps1;137.4544791;0.786432598;-0.346604972;0.166133969;-2.08629802;0.036951636;0.999879841;interleukin 13 receptor subunit alpha 1; pseudogene 1;;
ENSRNOG00000001786;Snx4;3714.565847;1.137994624;0.186493742;0.069100803;2.698865027;0.006957639;0.999879841;sorting nexin 4;;;
ENSRNOG00000001825;Pkp2;393.9086351;1.405096528;0.490669244;0.205759128;2.384677895;0.017094081;0.999879841;plakophilin 2;;;
ENSRNOG00000001830;Bmal2;286.4953449;1.338908852;0.421057751;0.158374409;2.658622399;0.007846084;0.999879841;basic helix-loop-helix ARNT like 2;;;
ENSRNOG00000001845;Top3b;1320.095119;1.115806516;0.158086881;0.073571078;2.148763954;0.031653116;0.999879841;DNA topoisomerase III beta;;;
ENSRNOG00000001865;Serpind1;3.168364985;0.043439992;-4.524832353;1.695990417;-2.667958679;0.007631364;0.999879841;serpin family D member 1;;;
ENSRNOG00000001877;Med15;2761.113579;1.144261404;0.19441667;0.090085773;2.158128458;0.030917846;0.999879841;mediator complex subunit 15;;;
ENSRNOG00000001953;Bace2;197.3685645;0.750888756;-0.413328907;0.165971676;-2.490358093;0.012761445;0.999879841;beta-secretase 2;;;
ENSRNOG00000002057;Slc10a6;82.30127381;0.665970218;-0.586470434;0.246750307;-2.376776917;0.017464647;0.999879841;solute carrier family 10 member 6;;;
ENSRNOG00000002073;Brdt;836.911919;1.195519277;0.257637392;0.12662506;2.034647747;0.041886329;0.999879841;bromodomain testis associated;;;
ENSRNOG00000002085;Spmap2l;7.256111721;0.419191166;-1.254319782;0.553240631;-2.267222818;0.023376618;0.999879841;sperm microtubule associated protein 2 like;;;
ENSRNOG00000002092;Hunk;652.9811356;0.809515923;-0.304868636;0.141048231;-2.161449555;0.03066063;0.999879841;hormonally upregulated Neu-associated kinase;;;
ENSRNOG00000002159;Gpat3;290.0864767;1.225206317;0.29302471;0.126762509;2.311603902;0.020799521;0.999879841;glycerol-3-phosphate acyltransferase 3;;;
ENSRNOG00000002164;Nmu;5.037675361;2.508042825;1.326561982;0.67355699;1.969487367;0.048897152;0.999879841;neuromedin U;;;
ENSRNOG00000002192;Rell1;272.3823183;0.746396945;-0.421985014;0.195763594;-2.155584728;0.031116106;0.999879841;RELT-like 1;;;
ENSRNOG00000002238;Sema5b;1186.67217;1.439254715;0.525321939;0.241896335;2.171682093;0.02987965;0.999879841;semaphorin 5B;;;
ENSRNOG00000002342;Aldh3a2;1881.436975;0.900938672;-0.150499192;0.071924664;-2.09245595;0.036397748;0.999879841;aldehyde dehydrogenase 3 family; member A2;;
ENSRNOG00000002353;Rab3gap2;5815.359363;1.132691263;0.17975468;0.086605872;2.075548419;0.037935736;0.999879841;RAB3 GTPase activating non-catalytic protein subunit 2;;;
ENSRNOG00000002385;Prg4;44.70795951;0.37808524;-1.403216566;0.58321261;-2.40601205;0.016127733;0.999879841;proteoglycan 4;;;
ENSRNOG00000002599;Grap;54.4198561;0.609260642;-0.714868549;0.324034673;-2.206148316;0.027373617;0.999879841;GRB2-related adaptor protein;;;
ENSRNOG00000002609;Ero1b;2404.632411;1.160820827;0.215145308;0.091083206;2.362074389;0.018172995;0.999879841;endoplasmic reticulum oxidoreductase 1 beta;;;
ENSRNOG00000002664;Emp2;153.0746447;0.720503065;-0.472923527;0.216153735;-2.18790357;0.028676627;0.999879841;epithelial membrane protein 2;;;
ENSRNOG00000002708;Phf8;1822.467923;1.130114563;0.176469031;0.085789658;2.056996541;0.039686559;0.999879841;PHD finger protein 8;;;
ENSRNOG00000002793;Sstr2;802.4154324;1.417399366;0.503246309;0.211514905;2.379247505;0.017348023;0.999879841;somatostatin receptor 2;;;
ENSRNOG00000002810;Gfpt2;238.9708158;0.83785745;-0.255223286;0.09929163;-2.570441078;0.01015691;0.999879841;glutamine-fructose-6-phosphate transaminase 2;;;
ENSRNOG00000002820;LOC24906;1.657642944;0.179184534;-2.480481977;1.214928984;-2.041668287;0.041184447;0.999879841;RoBo-1;;;
ENSRNOG00000003122;Hdac8;1960.606973;1.211980939;0.27736701;0.113264557;2.448842048;0.014331628;0.999879841;histone deacetylase 8;;;
ENSRNOG00000003171;Mpz;3.66825554;0.356215935;-1.489176039;0.740380644;-2.011365439;0.044286871;0.999879841;myelin protein zero;;;
ENSRNOG00000003183;Fmod;175.7623658;0.371793944;-1.427424823;0.554030058;-2.576439316;0.009982373;0.999879841;fibromodulin;;;
ENSRNOG00000003220;H3f3a;3080.894147;0.885843027;-0.174877021;0.073635442;-2.374902854;0.017553569;0.999879841;H3.3 histone A;;;
ENSRNOG00000003300;Btg2;867.0839195;0.670227818;-0.577276528;0.251872584;-2.29193872;0.02190918;0.999879841;BTG anti-proliferation factor 2;;;
ENSRNOG00000003357;Col3a1;468.5344234;0.404180687;-1.30692771;0.583559767;-2.239578159;0.025118322;0.999879841;collagen type III alpha 1 chain;;;
ENSRNOG00000003435;Mcf2;147.7292603;1.242578362;0.313336837;0.155352041;2.016947023;0.043701042;0.999879841;MCF.2 cell line derived transforming sequence;;;
ENSRNOG00000003515;Ephx1;580.123529;0.764908885;-0.38664019;0.154354756;-2.504880317;0.012249283;0.999879841;epoxide hydrolase 1;;;
ENSRNOG00000003622;Cybb;47.40245464;0.611269602;-0.710119271;0.299003165;-2.374955703;0.017551056;0.999879841;cytochrome b-245 beta chain;;;
ENSRNOG00000003669;Myocd;69.89891795;1.548788803;0.631140428;0.314927467;2.004081876;0.045061291;0.999879841;myocardin;;;
ENSRNOG00000003866;Cxcr4;60.34450104;0.68475419;-0.546341905;0.232897266;-2.345849375;0.018983778;0.999879841;C-X-C motif chemokine receptor 4;;;
ENSRNOG00000003897;Col1a1;265.4947025;0.354432649;-1.49641659;0.545252294;-2.744448039;0.006061275;0.999879841;collagen type I alpha 1 chain;;;
ENSRNOG00000003955;Spata7;1826.180091;1.161587342;0.216097637;0.097762063;2.210444743;0.027074311;0.999879841;spermatogenesis associated 7;;;
ENSRNOG00000004013;Grip1;5466.948285;1.272923338;0.348145535;0.166094008;2.096075229;0.036075518;0.999879841;glutamate receptor interacting protein 1;;;
ENSRNOG00000004140;Pacrgl;353.0872725;1.14523015;0.195637558;0.097059074;2.015654493;0.043836117;0.999879841;parkin coregulated like;;;
ENSRNOG00000004143;Adipor1;2421.155515;0.902645552;-0.14776851;0.057343563;-2.57689794;0.009969138;0.999879841;adiponectin receptor 1;;;
ENSRNOG00000004149;Mgat4c;1532.214702;1.1948361;0.256812733;0.127405674;2.01570875;0.04383044;0.999879841;MGAT4 family; member C;;
ENSRNOG00000004207;Eml5;2935.319728;1.235378196;0.304952773;0.110437566;2.761313781;0.005756934;0.999879841;EMAP like 5;;;
ENSRNOG00000004210;Osr1;59.04542097;0.516344809;-0.953593292;0.472477431;-2.018283264;0.043561769;0.999879841;odd-skipped related transcription factor 1;;;
ENSRNOG00000004259;Dohh;14.70519439;0.501613216;-0.995352737;0.455262797;-2.186325663;0.028791788;0.999879841;deoxyhypusine hydroxylase;;;
ENSRNOG00000004306;Zbtb39;788.8420657;0.892129206;-0.164675426;0.082666845;-1.992037148;0.046366982;0.999879841;zinc finger and BTB domain containing 39;;;
ENSRNOG00000004342;Ahr;474.5039749;1.205644501;0.269804574;0.132848197;2.030923871;0.042262718;0.999879841;aryl hydrocarbon receptor;;;
ENSRNOG00000004390;Alx1;11.21287064;0.568244582;-0.81541607;0.399609112;-2.040534226;0.041297146;0.999879841;ALX homeobox 1;;;
ENSRNOG00000004425;Klhdc1;587.9631464;1.183835211;0.243468273;0.107441533;2.266053605;0.023448101;0.999879841;kelch domain containing 1;;;
ENSRNOG00000004516;Itgbl1;206.1726002;0.534302102;-0.904272402;0.375286905;-2.409549577;0.015972226;0.999879841;integrin subunit beta like 1;;;
ENSRNOG00000004521;Prpf39;3473.324201;1.176671209;0.234711252;0.103117529;2.2761528;0.022836866;0.999879841;pre-mRNA processing factor 39;;;
ENSRNOG00000004554;Dcn;224.7818686;0.652032142;-0.616985012;0.27132158;-2.27399904;0.022966044;0.999879841;decorin;;;
ENSRNOG00000004937;Csmd3;6254.121385;1.178254879;0.236651655;0.115478326;2.049316643;0.040431162;0.999879841;CUB and Sushi multiple domains 3;;;
ENSRNOG00000005135;Bclaf3;1152.737372;1.166449968;0.222124428;0.105741835;2.100629599;0.035673494;0.999879841;BCLAF1 and THRAP3 family member 3;;;
ENSRNOG00000005154;Alkal2;68.55990773;1.44828386;0.534344395;0.207962172;2.569430731;0.010186575;0.999879841;ALK and LTK ligand 2;;;
ENSRNOG00000005159;Fam135b;2458.660952;1.191377638;0.252630785;0.118135935;2.138475346;0.032478183;0.999879841;family with sequence similarity 135; member B;;
ENSRNOG00000005286;Coch;220.1147316;0.419043505;-1.254828065;0.485801937;-2.583003422;0.009794435;0.999879841;cochlin;;;
ENSRNOG00000005388;Rassf3;631.3281845;0.782996957;-0.352921395;0.154514387;-2.284068177;0.022367524;0.999879841;Ras association domain family member 3;;;
ENSRNOG00000005540;Nin;4165.640006;1.16033968;0.214547205;0.091248073;2.351251886;0.018710363;0.999879841;ninein;;;
ENSRNOG00000005572;Ndufb11b;2.977117874;0.271473149;-1.881118586;0.902478771;-2.084390955;0.03712462;0.999879841;NADH:ubiquinone oxidoreductase subunit B11B;;;
ENSRNOG00000005621;Gxylt2;108.0799845;0.594772707;-0.749589649;0.301683236;-2.484691093;0.01296639;0.999879841;glucoside xylosyltransferase 2;;;
ENSRNOG00000005673;Runx1t1;2296.126185;1.250393625;0.322382328;0.128478644;2.509228913;0.012099505;0.999879841;RUNX1 partner transcriptional co-repressor 1;;;
ENSRNOG00000005708;Mmp16;2973.123444;1.181486895;0.240603628;0.116636108;2.062857126;0.039126205;0.999879841;matrix metallopeptidase 16;;;
ENSRNOG00000005753;LOC108349244;1306.092824;1.266271991;0.340587324;0.13533202;2.516679534;0.011846653;0.999879841;putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13;;;
ENSRNOG00000005776;Bcl11b;2665.566207;1.287582694;0.364665091;0.164637372;2.214959376;0.026762853;0.999879841;BCL11 transcription factor B;;;
ENSRNOG00000005804;Eif3d;1564.196546;0.896515509;-0.157599554;0.079745786;-1.976274378;0.04812371;0.999879841;eukaryotic translation initiation factor 3; subunit D;;
ENSRNOG00000005917;Pawr;72.00647236;0.739194756;-0.435973572;0.180919627;-2.40976382;0.01596285;0.999879841;pro-apoptotic WT1 regulator;;;
ENSRNOG00000005957;Slc4a7;1631.4183;1.286737152;0.363717378;0.149108671;2.439277181;0.014716675;0.999879841;solute carrier family 4 member 7;;;
ENSRNOG00000005964;Nr4a3;2532.968529;1.408219401;0.493872124;0.241596687;2.044200732;0.040933721;0.999879841;nuclear receptor subfamily 4; group A; member 3;
ENSRNOG00000005998;Smoc1;1044.40374;0.82929875;-0.270036177;0.137525853;-1.963530275;0.04958459;0.999879841;SPARC related modular calcium binding 1;;;
ENSRNOG00000006114;Cfap69;3019.329709;1.234814135;0.304293902;0.135277443;2.24940607;0.024486673;0.999879841;cilia and flagella associated protein 69;;;
ENSRNOG00000006131;Mettl2;477.8962308;1.125571307;0.170657457;0.075770247;2.252301718;0.024303212;0.999879841;methyltransferase like 2;;;
ENSRNOG00000006148;C10h5orf15;2784.843935;0.904898817;-0.144171612;0.065322374;-2.207078551;0.027308572;0.999879841;similar to human chromosome 5 open reading frame 15;;;
ENSRNOG00000006170;Bach2;1075.515409;1.212124699;0.277538126;0.131450357;2.111353158;0.034741968;0.999879841;BTB domain and CNC homolog 2;;;
ENSRNOG00000006280;Pcsk9;3.151920823;0.286757755;-1.80209559;0.916117401;-1.967101147;0.049171551;0.999879841;proprotein convertase subtilisin/kexin type 9;;;
ENSRNOG00000006305;Slc38a2;5561.609499;0.864983585;-0.20925534;0.106195754;-1.970468058;0.048784752;0.999879841;solute carrier family 38; member 2;;
ENSRNOG00000006340;Memo1;2791.527795;1.127159124;0.172691198;0.076914715;2.245229655;0.024753393;0.999879841;mediator of cell motility 1;;;
ENSRNOG00000006367;Slc5a8;11.44698551;1.72377641;0.785572655;0.40008;1.96353893;0.049583586;0.999879841;solute carrier family 5 member 8;;;
ENSRNOG00000006503;Frmd3;891.7855639;1.144457506;0.194663896;0.085310588;2.281825734;0.022499631;0.999879841;FERM domain containing 3;;;
ENSRNOG00000006527;Slc6a1;13289.5701;0.878454109;-0.186961173;0.085821932;-2.178477789;0.029370484;0.999879841;solute carrier family 6 member 1;;;
ENSRNOG00000006615;Mtap;833.1957159;1.175235256;0.232949581;0.117600333;1.980858183;0.04760718;0.999879841;methylthioadenosine phosphorylase;;;
ENSRNOG00000006684;Zfp317;1439.620714;0.908615529;-0.138258133;0.06908407;-2.001302661;0.045359783;0.999879841;zinc finger protein 317;;;
ENSRNOG00000006703;Zfp398;1154.831447;1.131451977;0.178175352;0.086028622;2.071117129;0.038347851;0.999879841;zinc finger protein 398;;;
ENSRNOG00000006717;Ankrd26;1968.606033;1.198222644;0.260896002;0.114776117;2.273086158;0.023020988;0.999879841;ankyrin repeat domain containing 26;;;
ENSRNOG00000006718;Rbm33;4118.166484;1.208376599;0.27307015;0.097457061;2.801953465;0.00507942;0.999879841;RNA binding motif protein 33;;;
ENSRNOG00000006736;Ccr3;42.52138675;0.676579338;-0.563668975;0.226572552;-2.487807859;0.012853315;0.999879841;C-C motif chemokine receptor 3;;;
ENSRNOG00000006738;Fbxo32;387.7170316;0.739146969;-0.436066841;0.210598814;-2.070604454;0.038395776;0.999879841;F-box protein 32;;;
ENSRNOG00000006759;Ankrd24;196.6975413;0.716676371;-0.480606305;0.171744421;-2.798380889;0.005135951;0.999879841;ankyrin repeat domain 24;;;
ENSRNOG00000006778;Mmp19;24.85822549;0.660171243;-0.5990878;0.283809856;-2.110877363;0.034782854;0.999879841;matrix metallopeptidase 19;;;
ENSRNOG00000006888;Gcfc2;504.1459412;1.179994909;0.238780635;0.107895618;2.21307075;0.026892768;0.999879841;GC-rich sequence DNA-binding factor 2;;;
ENSRNOG00000006940;Ncf4;27.92045436;0.581209649;-0.782869441;0.339113913;-2.308573645;0.020967252;0.999879841;neutrophil cytosolic factor 4;;;
ENSRNOG00000006946;Arhgap9;67.20566966;0.751556143;-0.412047214;0.189472007;-2.174712883;0.029651639;0.999879841;Rho GTPase activating protein 9;;;
ENSRNOG00000006967;Xiap;1966.155568;0.880023258;-0.184386442;0.086216733;-2.138638695;0.032464941;0.999879841;X-linked inhibitor of apoptosis;;;
ENSRNOG00000006999;Dnai4;1647.948562;1.20374396;0.267528559;0.134783825;1.984871392;0.047158782;0.999879841;dynein axonemal intermediate chain 4;;;
ENSRNOG00000007127;Bbs5;1173.931583;1.157124517;0.21054412;0.093179337;2.259558037;0.023848695;0.999879841;Bardet-Biedl syndrome 5;;;
ENSRNOG00000007172;Map4k3;5809.553267;1.128311826;0.174165833;0.076124664;2.28790282;0.022143181;0.999879841;mitogen-activated protein kinase kinase kinase kinase 3;;;
ENSRNOG00000007261;Gli2;234.7897682;0.728779621;-0.456445478;0.224255029;-2.035385692;0.04181208;0.999879841;GLI family zinc finger 2;;;
ENSRNOG00000007299;Caap1;1055.912247;1.180671554;0.239607683;0.097859964;2.448475065;0.014346236;0.999879841;caspase activity and apoptosis inhibitor 1;;;
ENSRNOG00000007323;Ric8b;2519.175156;1.145471661;0.195941766;0.073540989;2.664388509;0.007712843;0.999879841;RIC8 guanine nucleotide exchange factor B;;;
ENSRNOG00000007341;Mroh8;480.3816422;1.220488046;0.287458165;0.112137384;2.563446328;0.010363872;0.999879841;maestro heat-like repeat family member 8;;;
