;symbol;baseMean;FoldChange;log2FoldChange;lfcSE;stat;pvalue;padj;description;;;;;
ENSRNOG00000069034;Znf624l;301.3244996;0.730403768;-0.453233886;0.121764634;-3.722212861;0.000197484;0.278792466;zinc finger protein 624 like;;;;;
ENSRNOG00000071035;NA;175.9578011;0.706491134;-0.501256639;0.134496537;-3.726911127;0.000193841;0.278792466;NA;;;;;
ENSRNOG00000003510;Fmo2;26.13208341;0.297709927;-1.748020766;0.476239947;-3.67046229;0.000242112;0.314446118;flavin containing dimethylaniline monoxygenase 2;;;;;
ENSRNOG00000014310;Tmtc4;608.8334544;0.766770466;-0.383133326;0.10528415;-3.63904087;0.000273655;0.314446118;transmembrane O-mannosyltransferase targeting cadherins 4;;;;;
ENSRNOG00000069543;NA;532.4718145;1.60529689;0.68284014;0.186903122;3.653444264;0.000258746;0.314446118;NA;;;;;
ENSRNOG00000017374;Prl;2.06146458;8.20E-05;-13.57324101;3.750062213;-3.61947089;0.000295206;0.320364129;prolactin;;;;;
ENSRNOG00000007637;Acer2;891.7614719;0.530830673;-0.913676359;0.257356393;-3.550237659;0.000384884;0.395700777;alkaline ceramidase 2;;;;;
ENSRNOG00000016957;Igfbp2;340.1892651;0.347899718;-1.523256584;0.436011155;-3.493618375;0.000476522;0.465418715;insulin-like growth factor binding protein 2;;;;;
ENSRNOG00000009005;Slco2a1;62.09089586;0.445886017;-1.165253139;0.337530342;-3.45229152;0.000555847;0.496516075;solute carrier organic anion transporter family; member 2a1;;;;
ENSRNOG00000020464;Mrpl54;550.8658218;0.822196385;-0.282445066;0.08185224;-3.450669947;0.000559197;0.496516075;mitochondrial ribosomal protein L54;;;;;
ENSRNOG00000012448;Chrnb3;8.547726522;0.057413657;-4.122462246;1.206574636;-3.416665759;0.000633931;0.515966666;cholinergic receptor nicotinic beta 3 subunit;;;;;
ENSRNOG00000046139;Syt14;1314.061882;1.203422677;0.267143448;0.078095747;3.420716989;0.000624563;0.515966666;synaptotagmin 14;;;;;
ENSRNOG00000015781;Ndst3;1532.265709;1.372956271;0.457285676;0.135171374;3.383006794;0.000716969;0.560210574;N-deacetylase and N-sulfotransferase 3;;;;;
ENSRNOG00000068089;NA;81.8631279;1.496175257;0.581279178;0.172377316;3.372132664;0.000745885;0.56038922;NA;;;;;
ENSRNOG00000028658;Olig2;681.8249689;0.641389034;-0.640728406;0.190832688;-3.357540114;0.000786393;0.568941003;oligodendrocyte transcription factor 2;;;;;
ENSRNOG00000019140;Banp;2021.017471;1.2285114;0.296911245;0.088817347;3.342942053;0.000828952;0.578312498;Btg3 associated nuclear protein;;;;;
ENSRNOG00000013577;Kdelr3;44.15791017;0.580248447;-0.785257338;0.238391909;-3.293976465;0.000987808;0.602994856;KDEL endoplasmic reticulum protein retention receptor 3;;;;;
ENSRNOG00000019342;Sult1a1;390.8745851;0.623942986;-0.680513889;0.206111728;-3.301674749;0.000961094;0.602994856;sulfotransferase family 1A member 1;;;;;
ENSRNOG00000023373;Sec24b;3688.543198;1.191034838;0.252215613;0.076294897;3.305799256;0.000947059;0.602994856;SEC24 homolog B; COPII coat complex component;;;;
ENSRNOG00000067334;NA;3.752012;4.49395259;2.167984905;0.657062812;3.299509372;0.00096854;0.602994856;NA;;;;;
ENSRNOG00000026644;Glipr1;9.764499861;0.331456589;-1.593108165;0.495239722;-3.216842456;0.001296097;0.723370524;GLI pathogenesis-related 1;;;;;
ENSRNOG00000046683;Lilrb3;27.12730384;0.489579265;-1.030385636;0.319375477;-3.226251574;0.001254231;0.723370524;leukocyte immunoglobulin like receptor B3;;;;;
ENSRNOG00000066269;NA;296.8342355;1.262677662;0.336486393;0.104556008;3.218240615;0.001289796;0.723370524;NA;;;;;
ENSRNOG00000017489;Gse1;2896.229199;1.237079495;0.306938211;0.096534415;3.179572907;0.001474923;0.773691369;Gse1 coiled-coil protein;;;;;
ENSRNOG00000048113;Cbx8;112.8468583;0.664226262;-0.590253331;0.185982602;-3.173701865;0.001505082;0.773691369;chromobox 8;;;;;
ENSRNOG00000056817;Muc6;88.74997023;1.879101619;0.910043088;0.286727965;3.173890239;0.001504106;0.773691369;mucin 6; oligomeric mucus/gel-forming;;;;
ENSRNOG00000010894;Tmem203;176.5199105;0.706555246;-0.501125724;0.158498342;-3.161709566;0.001568459;0.785596942;transmembrane protein 203;;;;;
ENSRNOG00000017765;Net1;998.6992727;0.704629058;-0.505064123;0.160432996;-3.14813123;0.001643179;0.802446501;neuroepithelial cell transforming 1;;;;;
ENSRNOG00000005600;Nr4a2;767.560509;1.614404961;0.691002513;0.220966161;3.12718703;0.001764876;0.80488657;nuclear receptor subfamily 4; group A; member 2;;;
ENSRNOG00000010417;Nol4l;3511.916407;1.167514875;0.223440931;0.072037285;3.101740015;0.001923868;0.80488657;nucleolar protein 4-like;;;;;
ENSRNOG00000011575;Adamts18;142.232705;1.715010457;0.778217373;0.249920863;3.113855173;0.001846601;0.80488657;ADAM metallopeptidase with thrombospondin type 1 motif;18;;;;
ENSRNOG00000016917;Clcn1;138.1606673;1.575430395;0.655746015;0.210969424;3.108251433;0.001881979;0.80488657;chloride voltage-gated channel 1;;;;;
ENSRNOG00000017258;Ica1l;1896.435119;1.145846209;0.196413424;0.063074301;3.114000801;0.00184569;0.80488657;islet cell autoantigen 1-like;;;;;
ENSRNOG00000020369;Igf2;822.3694009;0.305493876;-1.710784635;0.551904145;-3.099785804;0.001936606;0.80488657;insulin-like growth factor 2;;;;;
ENSRNOG00000043186;Ppil6;1250.288415;1.44606067;0.532128082;0.171337865;3.105723786;0.001898139;0.80488657;peptidylprolyl isomerase like 6;;;;;
ENSRNOG00000011647;S100a6;46.69809304;0.524757904;-0.930276103;0.302508101;-3.075210544;0.00210354;0.82553488;S100 calcium binding protein A6;;;;;
ENSRNOG00000014482;Slf2;3401.263931;1.17380034;0.231187031;0.074921889;3.085707461;0.002030685;0.82553488;SMC5-SMC6 complex localization factor 2;;;;;
ENSRNOG00000070930;Hilpda;151.6089345;0.766440696;-0.383753928;0.124844229;-3.073861965;0.002113072;0.82553488;hypoxia inducible lipid droplet-associated;;;;;
ENSRNOG00000005695;Mgp;198.3394662;0.633654395;-0.658231909;0.218102243;-3.01799697;0.002544514;0.887581179;matrix Gla protein;;;;;
ENSRNOG00000007441;Klhl32;1450.310035;1.211531603;0.276832038;0.091457683;3.026886626;0.002470866;0.887581179;kelch-like family member 32;;;;;
ENSRNOG00000011823;Tfap2b;46.68032735;0.402234786;-1.313890241;0.432561627;-3.037463706;0.002385781;0.887581179;transcription factor AP-2 beta;;;;;
ENSRNOG00000019118;Slc13a3;228.7413021;0.323549204;-1.627942966;0.539084372;-3.019829643;0.002529169;0.887581179;solute carrier family 13 member 3;;;;;
ENSRNOG00000054251;Clec7a;5.163051799;0.242123009;-2.046187912;0.677514495;-3.020138945;0.002526587;0.887581179;C-type lectin domain containing 7A;;;;;
ENSRNOG00000066450;NA;502.6547019;1.342114864;0.424508149;0.140513057;3.021129546;0.002518336;0.887581179;NA;;;;;
ENSRNOG00000003790;Mael;11.65705434;0.217852902;-2.198573764;0.738052131;-2.978886817;0.002892976;0.961248262;maelstrom spermatogenic transposon silencer;;;;;
ENSRNOG00000023549;Samd5;4036.318947;1.261871092;0.335564537;0.112689047;2.977791942;0.00290333;0.961248262;sterile alpha motif domain containing 5;;;;;
ENSRNOG00000068204;NA;85.31359063;1.575927933;0.656201562;0.220216862;2.979797086;0.002884394;0.961248262;NA;;;;;
ENSRNOG00000000001;Arsj;118.1834587;0.905798638;-0.142737725;0.181698116;-0.785576253;0.432115781;0.999879841;arylsulfatase family; member J;;;;
ENSRNOG00000000007;Gad1;7559.69603;0.956112069;-0.064748363;0.127413735;-0.508174126;0.611331235;0.999879841;glutamate decarboxylase 1;;;;;
ENSRNOG00000000008;Alx4;5.710152971;0.174541503;-2.518357967;0.983620386;-2.560294603;0.010458346;0.999879841;ALX homeobox 4;;;;;
ENSRNOG00000000009;Tmco5b;4.883183165;2.129054862;1.090213126;0.587437588;1.855879072;0.063470797;0.999879841;transmembrane and coiled-coil domains 5B;;;;;
ENSRNOG00000000010;Cbln1;277.58308;0.850809378;-0.23309216;0.483207854;-0.482384875;0.629532563;0.999879841;cerebellin 1 precursor;;;;;
ENSRNOG00000000012;Tcf15;40.56949502;0.855338562;-0.225432511;0.229802713;-0.980982809;0.326601219;0.999879841;transcription factor 15;;;;;
ENSRNOG00000000017;Steap1;8.284706065;0.758672232;-0.39845136;0.451326207;-0.882845607;0.377319695;0.999879841;STEAP family member 1;;;;;
ENSRNOG00000000021;NA;0.474803342;0.929808948;-0.104993786;2.575948975;-0.040759265;0.967487815;0.999879841;NA;;;;;
ENSRNOG00000000024;Hebp1;1093.536848;0.999738921;-0.000376706;0.156072443;-0.002413662;0.998074179;0.999879841;heme binding protein 1;;;;;
ENSRNOG00000000033;Tmcc2;7256.242137;0.940802003;-0.088036963;0.14962481;-0.588384793;0.556274043;0.999879841;transmembrane and coiled-coil domain family 2;;;;;
ENSRNOG00000000034;Nuak2;97.35391656;0.780353072;-0.357801074;0.228000348;-1.569300561;0.116577922;0.999879841;NUAK family kinase 2;;;;;
ENSRNOG00000000036;Klhdc8a;696.7229029;0.985284028;-0.021388424;0.238119682;-0.089822158;0.92842854;0.999879841;kelch domain containing 8A;;;;;
ENSRNOG00000000040;RGD1304622;289.3192139;0.806060255;-0.311040407;0.22799466;-1.364244263;0.172490702;0.999879841;similar to 6820428L09 protein;;;;;
ENSRNOG00000000041;Slc26a1;81.27704295;0.903686003;-0.146106518;0.151120117;-0.966823744;0.333632153;0.999879841;solute carrier family 26 member 1;;;;;
ENSRNOG00000000042;Xpr1;2032.906586;1.003607788;0.005195571;0.085961946;0.06044036;0.951804914;0.999879841;xenotropic and polytropic retrovirus receptor 1;;;;;
ENSRNOG00000000043;Idua;1384.096382;1.117186168;0.159869617;0.194869444;0.820393458;0.411991844;0.999879841;alpha-L-iduronidase;;;;;
ENSRNOG00000000044;Tmem175;2394.935471;1.072581753;0.101087615;0.077620762;1.302327016;0.19280462;0.999879841;transmembrane protein 175;;;;;
ENSRNOG00000000047;Cd82;689.1233032;0.817242876;-0.291163198;0.250379633;-1.16288691;0.244875389;0.999879841;Cd82 molecule;;;;;
ENSRNOG00000000048;Gak;15258.506;0.928422885;-0.10714601;0.129169173;-0.829501398;0.406820746;0.999879841;cyclin G associated kinase;;;;;
ENSRNOG00000000053;Crp;0.661968038;2.078476195;1.055526224;1.721015845;0.613315809;0.539667543;0.999879841;C-reactive protein;;;;;
ENSRNOG00000000054;Abhd8;4965.730952;0.878705752;-0.186547956;0.228031708;-0.81807902;0.413312068;0.999879841;abhydrolase domain containing 8;;;;;
ENSRNOG00000000062;Pcgf3;2585.124864;1.04236724;0.059863648;0.071899067;0.832606737;0.405066558;0.999879841;polycomb group ring finger 3;;;;;
ENSRNOG00000000064;Atp5me;1593.137674;0.904676206;-0.144526568;0.114445332;-1.262843716;0.206645351;0.999879841;ATP synthase membrane subunit e;;;;;
ENSRNOG00000000065;Pde6b;5.169607539;0.613830328;-0.704088167;0.733011426;-0.960541871;0.336782568;0.999879841;phosphodiesterase 6B;;;;;
ENSRNOG00000000066;Fbxo28;1502.231353;1.097624959;0.134385193;0.101806287;1.320008776;0.186832088;0.999879841;F-box protein 28;;;;;
ENSRNOG00000000068;Ppp2r5a;2041.585418;0.977996393;-0.032098951;0.063162759;-0.508194249;0.611317124;0.999879841;protein phosphatase 2; regulatory subunit B'; alpha;;;
ENSRNOG00000000070;Dr1;2061.180135;0.952847832;-0.069682258;0.089507624;-0.778506401;0.436270535;0.999879841;down-regulator of transcription 1;;;;;
ENSRNOG00000000073;Tmed5;2092.931305;0.972656035;-0.039998387;0.145062132;-0.275732798;0.782753303;0.999879841;transmembrane p24 trafficking protein 5;;;;;
ENSRNOG00000000075;Mtf2;1466.217761;1.064627391;0.09034859;0.083742235;1.078889172;0.280637136;0.999879841;metal response element binding transcription factor 2;;;;;
ENSRNOG00000000081;Antxr2;242.0981936;0.845355685;-0.242369609;0.214833147;-1.128176039;0.259245581;0.999879841;ANTXR cell adhesion molecule 2;;;;;
ENSRNOG00000000082;Hltf;1882.891825;1.003772496;0.005432322;0.126299359;0.043011475;0.965692387;0.999879841;helicase-like transcription factor;;;;;
ENSRNOG00000000091;Smad9;590.4540129;0.971653006;-0.041486901;0.146013445;-0.284130691;0.776310228;0.999879841;SMAD family member 9;;;;;
ENSRNOG00000000095;Gpr89b;2645.196849;0.984016144;-0.023246109;0.056639552;-0.410421844;0.681496525;0.999879841;G protein-coupled receptor 89B;;;;;
ENSRNOG00000000096;Pdzk1;2.625929459;1.580945429;0.66078757;0.760498479;0.868887431;0.384908705;0.999879841;PDZ domain containing 1;;;;;
ENSRNOG00000000097;NA;1.400759658;0.581384976;-0.782434305;1.206147232;-0.648705469;0.516528769;0.999879841;NA;;;;;
ENSRNOG00000000098;Rnf115;3303.935047;0.942669006;-0.085176801;0.097946936;-0.869621908;0.384507061;0.999879841;ring finger protein 115;;;;;
ENSRNOG00000000104;Thoc3;786.1422874;0.951298315;-0.072030273;0.078963704;-0.912194703;0.361666232;0.999879841;THO complex subunit 3;;;;;
ENSRNOG00000000105;Cplx2;19169.51047;0.906162162;-0.142158844;0.206902452;-0.687081485;0.492031381;0.999879841;complexin 2;;;;;
ENSRNOG00000000108;Aga;861.4978609;0.958013794;-0.061881666;0.146177435;-0.423332549;0.672052649;0.999879841;aspartylglucosaminidase;;;;;
ENSRNOG00000000109;Fgf20;19.54451743;1.178647039;0.23713175;0.310328804;0.764130648;0.44478939;0.999879841;fibroblast growth factor 20;;;;;
ENSRNOG00000000111;Coprs;430.6781672;0.958533454;-0.06109931;0.076439958;-0.799311142;0.42411002;0.999879841;coordinator of PRMT5 and differentiation stimulator;;;;;
ENSRNOG00000000112;Champ1;1459.664655;1.01414137;0.020258776;0.087313198;0.232024217;0.816519205;0.999879841;chromosome alignment maintaining phosphoprotein 1;;;;;
ENSRNOG00000000113;Elac1;658.7308461;1.000383627;0.000553351;0.089965414;0.006150703;0.99509248;0.999879841;elaC ribonuclease Z 1;;;;;
ENSRNOG00000000121;Pigv;318.1080076;0.951654624;-0.071490011;0.100340498;-0.712474148;0.476171214;0.999879841;phosphatidylinositol glycan anchor biosynthesis; class V;;;;
ENSRNOG00000000122;Ak2;325.6059932;0.927366268;-0.108788844;0.11548927;-0.941982261;0.346201722;0.999879841;adenylate kinase 2;;;;;
ENSRNOG00000000123;Rnf19b;1650.449317;0.940319613;-0.088776886;0.125878576;-0.705258104;0.480649628;0.999879841;ring finger protein 19B;;;;;
ENSRNOG00000000127;Kpna6;1929.759905;0.982625649;-0.025286197;0.090564464;-0.279206608;0.780086273;0.999879841;karyopherin subunit alpha 6;;;;;
ENSRNOG00000000129;Phf24;14095.25153;1.051034255;0.07180969;0.08606273;0.83438777;0.404062507;0.999879841;PHD finger protein 24;;;;;
ENSRNOG00000000130;Dnajb5;5029.429617;1.117313993;0.160034676;0.131751812;1.214667736;0.224492843;0.999879841;DnaJ heat shock protein family (Hsp40) member B5;;;;;
ENSRNOG00000000133;Txndc15;2696.430844;0.979333928;-0.030127229;0.053478671;-0.563350363;0.57319633;0.999879841;thioredoxin domain containing 15;;;;;
ENSRNOG00000000137;Ly86;122.1275762;0.854243223;-0.227281198;0.207931216;-1.09305953;0.274367663;0.999879841;lymphocyte antigen 86;;;;;
ENSRNOG00000000138;Glis1;143.5309154;0.977875268;-0.03227764;0.237732948;-0.135772684;0.892000986;0.999879841;GLIS family zinc finger 1;;;;;
ENSRNOG00000000142;Plxdc2;2427.6459;0.992492078;-0.010872507;0.094532269;-0.115013715;0.908434251;0.999879841;plexin domain containing 2;;;;;
ENSRNOG00000000145;Pik3r3;1908.653832;1.025077355;0.035732784;0.094794167;0.376951291;0.706209803;0.999879841;phosphoinositide-3-kinase regulatory subunit 3;;;;;
ENSRNOG00000000150;Dnajc1;1327.795596;1.158231858;0.211924084;0.142500289;1.487183542;0.136966342;0.999879841;DnaJ heat shock protein family (Hsp40) member C1;;;;;
ENSRNOG00000000151;Ldlrap1;437.4976689;0.797212073;-0.326964536;0.307670259;-1.062710893;0.287913079;0.999879841;low density lipoprotein receptor adaptor protein 1;;;;;
ENSRNOG00000000155;Cog3;1581.198312;1.105484282;0.144678513;0.076502735;1.891154768;0.058603687;0.999879841;component of oligomeric golgi complex 3;;;;;
ENSRNOG00000000156;Megf6;135.9348309;0.633444073;-0.658710847;0.410597257;-1.604274834;0.108653486;0.999879841;multiple EGF-like-domains 6;;;;;
ENSRNOG00000000157;Atg12;3768.741925;0.974017475;-0.037980439;0.069864139;-0.543632815;0.586694174;0.999879841;autophagy related 12;;;;;
ENSRNOG00000000158;Cdo1;2319.154286;0.980558252;-0.028324755;0.151994383;-0.18635396;0.852167195;0.999879841;cysteine dioxygenase type 1;;;;;
ENSRNOG00000000161;Chm;2427.294361;0.997428256;-0.003715022;0.12827144;-0.028962189;0.976894747;0.999879841;CHM Rab escort protein;;;;;
ENSRNOG00000000164;Lamp2;6641.478166;0.957761777;-0.062261234;0.104419446;-0.596260913;0.551000939;0.999879841;lysosomal-associated membrane protein 2;;;;;
ENSRNOG00000000165;Pfkfb1;32.39174903;1.000586303;0.000845608;0.32066217;0.002637068;0.997895926;0.999879841;6-phosphofructo-2-kinase/fructose-2;6-biphosphatase 1;;;;
ENSRNOG00000000166;Apex2;276.2525572;1.171613768;0.228497052;0.119982025;1.904427362;0.056854548;0.999879841;apurinic/apyrimidinic endodeoxyribonuclease 2;;;;;
ENSRNOG00000000167;Alas2;99.51842156;0.668108917;-0.581844781;0.41072821;-1.416617529;0.156594781;0.999879841;5'-aminolevulinate synthase 2;;;;;
ENSRNOG00000000168;Gatm;5797.257645;0.940771308;-0.088084034;0.178382442;-0.493793181;0.621452249;0.999879841;glycine amidinotransferase;;;;;
ENSRNOG00000000169;Afg2b;209.0200724;1.015494255;0.022182078;0.149084059;0.148789068;0.881720077;0.999879841;AFG2 AAA ATPase homolog B;;;;;
ENSRNOG00000000170;Slc30a4;4522.059835;0.932306753;-0.101123379;0.140701752;-0.718707315;0.472321275;0.999879841;solute carrier family 30 member 4;;;;;
ENSRNOG00000000172;Sqor;212.7796495;0.852535275;-0.230168565;0.132388906;-1.738578948;0.082108852;0.999879841;sulfide quinone oxidoreductase;;;;;
ENSRNOG00000000175;Mier2;679.2738837;1.167399531;0.223298394;0.196478481;1.136503054;0.255746088;0.999879841;MIER family member 2;;;;;
ENSRNOG00000000177;Plpp2;58.54760137;0.805719286;-0.311650806;0.394438872;-0.790111797;0.429462481;0.999879841;phospholipid phosphatase 2;;;;;
ENSRNOG00000000184;Tmprss6;1.744811446;1.036014064;0.051043588;1.006165308;0.050730817;0.95954002;0.999879841;transmembrane serine protease 6;;;;;
ENSRNOG00000000185;Mpst;328.6387738;0.843037904;-0.246330598;0.192706954;-1.278265226;0.201155924;0.999879841;mercaptopyruvate sulfurtransferase;;;;;
ENSRNOG00000000186;Tst;1294.388258;0.909216713;-0.137303892;0.185221457;-0.741295819;0.458514096;0.999879841;thiosulfate sulfurtransferase;;;;;
ENSRNOG00000000187;Csf2rb;61.81276225;0.829962638;-0.268881702;0.231661917;-1.160664232;0.245778473;0.999879841;colony stimulating factor 2 receptor subunit beta;;;;;
ENSRNOG00000000195;Vwa5a;537.2224884;0.877763451;-0.188095896;0.138705561;-1.356080419;0.175073582;0.999879841;von Willebrand factor A domain containing 5A;;;;;
ENSRNOG00000000196;Cyp19a1;59.99741508;1.086879814;0.120192418;0.22324148;0.53839644;0.590303383;0.999879841;cytochrome P450; family 19; subfamily a; polypeptide 1;;
ENSRNOG00000000201;Gsta5;1.488989828;1.323423481;0.404274782;1.115840141;0.362305287;0.717123908;0.999879841;glutathione S-transferase alpha 5;;;;;
ENSRNOG00000000204;Syncrip;4879.882641;0.991664866;-0.012075453;0.105711789;-0.114229952;0.909055509;0.999879841;synaptotagmin binding; cytoplasmic RNA interacting protein;;;;
ENSRNOG00000000219;Ano10;1411.881823;0.910423868;-0.135389715;0.091381389;-1.481589585;0.138449532;0.999879841;anoctamin 10;;;;;
ENSRNOG00000000221;Abhd5;939.1689377;0.850023565;-0.234425258;0.093664655;-2.502814506;0.01232101;0.999879841;abhydrolase domain containing 5; lysophosphatidic acid acyltransferase;;;;
ENSRNOG00000000230;Lmf1;944.7828867;1.028516497;0.040564935;0.103284421;0.392749791;0.694504291;0.999879841;lipase maturation factor 1;;;;;
ENSRNOG00000000231;Kctd17;2870.963056;1.023699657;0.033792505;0.183770117;0.183884658;0.854103941;0.999879841;potassium channel tetramerization domain containing 17;;;;;
ENSRNOG00000000233;Grm6;99.14444032;1.033485928;0.047518746;0.185905704;0.255606712;0.798254535;0.999879841;glutamate metabotropic receptor 6;;;;;
ENSRNOG00000000236;Zfp207;2690.077083;1.048127994;0.067814905;0.105610852;0.642120607;0.520794877;0.999879841;zinc finger protein 207;;;;;
ENSRNOG00000000237;RGD1310429;1720.01357;0.982891443;-0.02489601;0.100465559;-0.247806412;0.804284193;0.999879841;similar to Protein Njmu-R1;;;;;
ENSRNOG00000000239;Ccl7;3.346541621;0.845491725;-0.242137459;0.712032767;-0.340065051;0.73380754;0.999879841;C-C motif chemokine ligand 7;;;;;
ENSRNOG00000000244;Coil;805.436235;0.953536155;-0.068640452;0.083433328;-0.822698242;0.410679615;0.999879841;coilin;;;;;
ENSRNOG00000000245;Slc16a6;196.9113271;0.969011603;-0.045414154;0.242310135;-0.187421604;0.851330085;0.999879841;solute carrier family 16; member 6;;;;
ENSRNOG00000000246;Amz2;3944.141874;0.997049178;-0.004263429;0.068999296;-0.061789461;0.950730496;0.999879841;archaelysin family metallopeptidase 2;;;;;
ENSRNOG00000000247;Mfsd11;1416.850007;1.060523236;0.084776231;0.133894112;0.633158767;0.526629969;0.999879841;major facilitator superfamily domain containing 11;;;;;
ENSRNOG00000000248;Srsf2;4690.417247;1.112790213;0.154181637;0.079509577;1.939158063;0.052482094;0.999879841;serine and arginine rich splicing factor 2;;;;;
ENSRNOG00000000249;Mettl23;240.0961192;1.04741865;0.066838198;0.116311626;0.57464761;0.565529646;0.999879841;methyltransferase 23; arginine;;;;
ENSRNOG00000000250;Jmjd6;488.7993486;1.041373555;0.058487676;0.079362936;0.736964623;0.461143863;0.999879841;jumonji domain containing 6; arginine demethylase and lysine hydroxylase;;;;
ENSRNOG00000000251;St6galnac1;2.959978467;1.259172675;0.332476138;0.867665619;0.383184641;0.701582866;0.999879841;ST6 N-acetylgalactosaminide alpha-2;6-sialyltransferase 1;;;;
ENSRNOG00000000257;Smpd3;3162.546546;0.952930664;-0.069556849;0.109142775;-0.637301452;0.523928506;0.999879841;sphingomyelin phosphodiesterase 3;;;;;
ENSRNOG00000000258;Prmt7;1662.128876;0.98561004;-0.020911143;0.062424824;-0.334981213;0.737639258;0.999879841;protein arginine methyltransferase 7;;;;;
ENSRNOG00000000262;Zfp821;1696.100899;1.086617209;0.119843801;0.080902195;1.481341773;0.138515522;0.999879841;zinc finger protein 821;;;;;
ENSRNOG00000000264;Def8;1222.277582;1.011013643;0.015802466;0.147205309;0.10734984;0.914511447;0.999879841;differentially expressed in FDCP 8 homolog;;;;;
ENSRNOG00000000274;Phyhipl;4955.7469;1.00407515;0.005867252;0.136650411;0.042936219;0.965752377;0.999879841;phytanoyl-CoA 2-hydroxylase interacting protein-like;;;;;
ENSRNOG00000000275;Fam13c;3367.867101;1.030157946;0.042865551;0.067880118;0.631489052;0.527720805;0.999879841;family with sequence similarity 13; member C;;;;
ENSRNOG00000000277;Tet1;447.5870799;1.02159211;0.030819287;0.13245126;0.232683988;0.816006804;0.999879841;tet methylcytosine dioxygenase 1;;;;;
ENSRNOG00000000279;Rtn4ip1;712.3952301;1.050375664;0.070905396;0.116148885;0.610469877;0.541550592;0.999879841;reticulon 4 interacting protein 1;;;;;
ENSRNOG00000000281;Prodh;2362.621454;0.958644771;-0.060931775;0.214511325;-0.284049225;0.776372658;0.999879841;proline dehydrogenase;;;;;
ENSRNOG00000000283;Ess2;598.9516984;0.99753891;-0.003554979;0.102345771;-0.034734989;0.97229106;0.999879841;ess-2 splicing factor homolog;;;;;
ENSRNOG00000000288;Scarf2;129.0786523;0.805257973;-0.312477055;0.283996764;-1.100283859;0.271208463;0.999879841;scavenger receptor class F; member 2;;;;
ENSRNOG00000000299;Foxo3;1704.997878;0.923523138;-0.114779988;0.0854949;-1.342536078;0.17942224;0.999879841;forkhead box O3;;;;;
ENSRNOG00000000302;Sesn1;1885.439444;0.976516258;-0.034284031;0.076415933;-0.448650296;0.653683945;0.999879841;sestrin 1;;;;;
ENSRNOG00000000303;Cep57l1;541.6744086;1.104012085;0.142755965;0.106386118;1.34186647;0.179639295;0.999879841;centrosomal protein 57-like 1;;;;;
ENSRNOG00000000304;Cd164;3960.047947;0.91304929;-0.131235351;0.115271205;-1.138492054;0.254915075;0.999879841;CD164 molecule;;;;;
ENSRNOG00000000306;Smpd2;208.823175;0.954506742;-0.067172707;0.169780338;-0.395644796;0.692367085;0.999879841;sphingomyelin phosphodiesterase 2;;;;;
ENSRNOG00000000307;Mical1;326.3826612;1.258700185;0.331934682;0.231616429;1.433122352;0.151822875;0.999879841;microtubule associated monooxygenase; calponin and LIM domain containing 1;;;;
ENSRNOG00000000308;Zbtb24;508.602044;1.028798318;0.040960189;0.071140267;0.575766585;0.564772962;0.999879841;zinc finger and BTB domain containing 24;;;;;
ENSRNOG00000000312;Fig4;2554.069975;0.985425398;-0.021181439;0.062168275;-0.340711387;0.733320866;0.999879841;FIG4 phosphoinositide 5-phosphatase;;;;;
