category	ID	term	count	gene	logFC	adj_pval	zscore	P-MAGMA	B-MAGMA
REACTOME	REACTOME_HIV_INFECTION	REACTOME_HIV_INFECTION	216	ENSG00000197265,ENSG00000197170,ENSG00000047410,ENSG00000113558,ENSG00000079246,ENSG00000129315,ENSG00000047315,ENSG00000127922,ENSG00000153201,ENSG00000143106,ENSG00000111358,ENSG00000064313,ENSG00000163002,ENSG00000114030,ENSG00000213780,ENSG00000147669,ENSG00000163636,ENSG00000144231,ENSG00000197780,ENSG00000181163,ENSG00000143947,ENSG00000272047,ENSG00000152056,ENSG00000114503,ENSG00000009844,ENSG00000188342,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000136243,ENSG00000110713,ENSG00000131467,ENSG00000047249,ENSG00000100911,ENSG00000085415,ENSG00000155975,ENSG00000174405,ENSG00000187325,ENSG00000100804,ENSG00000136930,ENSG00000140307,ENSG00000068878,ENSG00000166266,ENSG00000108424,ENSG00000185627,ENSG00000147133,ENSG00000164695,ENSG00000041357,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000136937,ENSG00000030066,ENSG00000165417,ENSG00000178562,ENSG00000110768,ENSG00000139722,ENSG00000100567,ENSG00000108671,ENSG00000154582,ENSG00000087191,ENSG00000120253,ENSG00000092201,ENSG00000100401,ENSG00000113569,ENSG00000170315,ENSG00000101336,ENSG00000095261,ENSG00000111880,ENSG00000136448,ENSG00000095319,ENSG00000008018,ENSG00000148835,ENSG00000132341,ENSG00000183020,ENSG00000130699,ENSG00000196419,ENSG00000102900,ENSG00000175166	1.818	0.0000437	0	0.0050866	0.15349
REACTOME	REACTOME_STABILIZATION_OF_P53	REACTOME_STABILIZATION_OF_P53	53	ENSG00000197170,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000185627,ENSG00000041357,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000087191,ENSG00000170315,ENSG00000095261,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000165916,ENSG00000129084	2.025	0.000820223	0	0.0054308	0.28899
REACTOME	REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	54	ENSG00000197170,ENSG00000113558,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000185627,ENSG00000041357,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000142875,ENSG00000087191,ENSG00000055130,ENSG00000170315,ENSG00000095261,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000165916,ENSG00000129084	2.106	0.000154999	0	0.0055307	0.28842
REACTOME	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	186	ENSG00000120705,ENSG00000108094,ENSG00000197170,ENSG00000169062,ENSG00000189369,ENSG00000114302,ENSG00000158092,ENSG00000163539,ENSG00000127922,ENSG00000143106,ENSG00000196935,ENSG00000163636,ENSG00000143947,ENSG00000163584,ENSG00000114503,ENSG00000143322,ENSG00000100519,ENSG00000173692,ENSG00000070087,ENSG00000115233,ENSG00000070831,ENSG00000125818,ENSG00000187323,ENSG00000103342,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000116251,ENSG00000138326,ENSG00000115904,ENSG00000185627,ENSG00000154229,ENSG00000077254,ENSG00000122026,ENSG00000182774,ENSG00000041357,ENSG00000037241,ENSG00000173402,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000097007,ENSG00000136937,ENSG00000137154,ENSG00000089009,ENSG00000100567,ENSG00000108671,ENSG00000142875,ENSG00000154582,ENSG00000171863,ENSG00000087191,ENSG00000149269,ENSG00000169855,ENSG00000170315,ENSG00000095261,ENSG00000109475,ENSG00000114867,ENSG00000008018,ENSG00000175166,ENSG00000233927,ENSG00000103035,ENSG00000111196,ENSG00000125691,ENSG00000165916,ENSG00000197728,ENSG00000129084,ENSG00000151461,ENSG00000165502,ENSG00000114391,ENSG00000071051,ENSG00000110700,ENSG00000112306	1.894	0.0000351	0	0.0065521	0.15696
MF	GOMF_ION_GATED_CHANNEL_ACTIVITY	GOMF_ION_GATED_CHANNEL_ACTIVITY	19	ENSG00000185101,ENSG00000143603,ENSG00000160746,ENSG00000136295,ENSG00000146205,ENSG00000074855,ENSG00000196187,ENSG00000171714	-1.895090388	0.038432146	0	0.0073577	0.35766
REACTOME	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	152	ENSG00000120705,ENSG00000108094,ENSG00000197170,ENSG00000169062,ENSG00000189369,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000163584,ENSG00000114503,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000103342,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000116251,ENSG00000138326,ENSG00000185627,ENSG00000077254,ENSG00000122026,ENSG00000182774,ENSG00000041357,ENSG00000037241,ENSG00000173402,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000136937,ENSG00000137154,ENSG00000089009,ENSG00000100567,ENSG00000108671,ENSG00000154582,ENSG00000171863,ENSG00000087191,ENSG00000169855,ENSG00000170315,ENSG00000095261,ENSG00000109475,ENSG00000114867,ENSG00000008018,ENSG00000175166,ENSG00000233927,ENSG00000103035,ENSG00000111196,ENSG00000125691,ENSG00000165916,ENSG00000197728,ENSG00000129084,ENSG00000151461,ENSG00000165502,ENSG00000114391	1.858	0.000238363	0	0.0081567	0.16649
REACTOME	REACTOME_SIGNALING_BY_HEDGEHOG	REACTOME_SIGNALING_BY_HEDGEHOG	125	ENSG00000121067,ENSG00000197170,ENSG00000114446,ENSG00000166813,ENSG00000113558,ENSG00000114302,ENSG00000127922,ENSG00000118965,ENSG00000143106,ENSG00000187240,ENSG00000163636,ENSG00000143947,ENSG00000106012,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000134371,ENSG00000131467,ENSG00000100911,ENSG00000134874,ENSG00000064309,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000165280,ENSG00000188191,ENSG00000103494,ENSG00000185627,ENSG00000113712,ENSG00000157796,ENSG00000041357,ENSG00000108854,ENSG00000198742,ENSG00000101843,ENSG00000036257,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000142875,ENSG00000101052,ENSG00000164742,ENSG00000087191,ENSG00000055130,ENSG00000170315,ENSG00000095261,ENSG00000164066,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000071537,ENSG00000165916,ENSG00000129084	1.665	0.005445264	0	0.0087701	0.17298
REACTOME	REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	125	ENSG00000170345,ENSG00000126456,ENSG00000168040,ENSG00000154589,ENSG00000134061,ENSG00000105053,ENSG00000106976,ENSG00000034152,ENSG00000071242,ENSG00000177606,ENSG00000112640,ENSG00000168884,ENSG00000164086,ENSG00000107968,ENSG00000108861,ENSG00000169032,ENSG00000076984,ENSG00000150991,ENSG00000131508,ENSG00000185386,ENSG00000100324,ENSG00000134070,ENSG00000127666,ENSG00000129465,ENSG00000120875,ENSG00000269335,ENSG00000068305,ENSG00000004139,ENSG00000167207,ENSG00000185187,ENSG00000110057,ENSG00000173039,ENSG00000185507,ENSG00000105568,ENSG00000160255,ENSG00000102882,ENSG00000174516,ENSG00000166484	-1.524	0.032690385	0	0.0089788	0.18179
REACTOME	REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	76	ENSG00000197170,ENSG00000113558,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000138795,ENSG00000100519,ENSG00000173692,ENSG00000196781,ENSG00000115233,ENSG00000125818,ENSG00000104695,ENSG00000131467,ENSG00000100911,ENSG00000019995,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000185627,ENSG00000113712,ENSG00000041357,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000154001,ENSG00000100567,ENSG00000108671,ENSG00000087191,ENSG00000055130,ENSG00000170315,ENSG00000095261,ENSG00000134982,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000168036,ENSG00000165916,ENSG00000129084	1.846	0.001803406	0	0.0090956	0.23735
REACTOME	REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	64	ENSG00000072401,ENSG00000108094,ENSG00000197170,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000185627,ENSG00000041357,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000154582,ENSG00000087191,ENSG00000170315,ENSG00000095261,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000165916,ENSG00000129084	1.849	0.003477478	0	0.0093329	0.24241
MF	GOMF_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	416	ENSG00000101187,ENSG00000109062,ENSG00000225697,ENSG00000125648,ENSG00000114859,ENSG00000164418,ENSG00000143153,ENSG00000163406,ENSG00000090020,ENSG00000106688,ENSG00000158715,ENSG00000196517,ENSG00000221955,ENSG00000101194,ENSG00000143603,ENSG00000122986,ENSG00000111775,ENSG00000100991,ENSG00000151012,ENSG00000099337,ENSG00000164466,ENSG00000196218,ENSG00000139514,ENSG00000033627,ENSG00000169100,ENSG00000128524,ENSG00000160746,ENSG00000165995,ENSG00000136295,ENSG00000197375,ENSG00000114544,ENSG00000146205,ENSG00000168447,ENSG00000157388,ENSG00000165915,ENSG00000147804,ENSG00000184185,ENSG00000126903,ENSG00000141524,ENSG00000074855,ENSG00000103257,ENSG00000186815,ENSG00000181035,ENSG00000134955,ENSG00000076351,ENSG00000250565,ENSG00000112759,ENSG00000102007,ENSG00000196296,ENSG00000157593,ENSG00000089041,ENSG00000162241,ENSG00000108405,ENSG00000117013,ENSG00000151062,ENSG00000160190,ENSG00000109736,ENSG00000010256,ENSG00000110719,ENSG00000185989,ENSG00000162341,ENSG00000135390,ENSG00000135750,ENSG00000110446,ENSG00000182771,ENSG00000135124,ENSG00000159363,ENSG00000089060,ENSG00000167895,ENSG00000100678,ENSG00000102057,ENSG00000130304,ENSG00000113504,ENSG00000196187,ENSG00000059804,ENSG00000110628,ENSG00000171714,ENSG00000141526,ENSG00000067191,ENSG00000117394,ENSG00000197818,ENSG00000107819,ENSG00000167535,ENSG00000096433,ENSG00000213719,ENSG00000137491,ENSG00000008710,ENSG00000137700,ENSG00000002834,ENSG00000069424,ENSG00000105281,ENSG00000189077,ENSG00000124067,ENSG00000129353,ENSG00000100075	-1.484629029	0.012532337	0	0.0097824	0.082243
REACTOME	REACTOME_DEGRADATION_OF_DVL	REACTOME_DEGRADATION_OF_DVL	52	ENSG00000197170,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000185627,ENSG00000041357,ENSG00000101843,ENSG00000036257,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000087191,ENSG00000170315,ENSG00000095261,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000165916,ENSG00000129084	2.078	0.000269145	0	0.010889	0.26416
REACTOME	REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	67	ENSG00000197170,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000080824,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000183785,ENSG00000185627,ENSG00000041357,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000087191,ENSG00000096384,ENSG00000170315,ENSG00000095261,ENSG00000101367,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000165916,ENSG00000129084	1.845	0.006193009	0	0.011946	0.22839
REACTOME	REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	124	ENSG00000197170,ENSG00000047410,ENSG00000113558,ENSG00000129315,ENSG00000127922,ENSG00000153201,ENSG00000143106,ENSG00000163002,ENSG00000114030,ENSG00000163636,ENSG00000181163,ENSG00000143947,ENSG00000152056,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000136243,ENSG00000110713,ENSG00000131467,ENSG00000047249,ENSG00000100911,ENSG00000085415,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000166266,ENSG00000108424,ENSG00000185627,ENSG00000041357,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000030066,ENSG00000178562,ENSG00000100567,ENSG00000108671,ENSG00000154582,ENSG00000087191,ENSG00000120253,ENSG00000100401,ENSG00000113569,ENSG00000170315,ENSG00000101336,ENSG00000095261,ENSG00000095319,ENSG00000008018,ENSG00000132341,ENSG00000183020,ENSG00000102900,ENSG00000175166,ENSG00000103035,ENSG00000101146,ENSG00000165916,ENSG00000129084	1.91	0.000296159	0	0.01205	0.17993
REACTOME	REACTOME_POTASSIUM_CHANNELS	REACTOME_POTASSIUM_CHANNELS	41	ENSG00000204681,ENSG00000157551,ENSG00000069966,ENSG00000116396,ENSG00000174021,ENSG00000167083,ENSG00000143603,ENSG00000099337,ENSG00000078369,ENSG00000184185,ENSG00000176533,ENSG00000117013,ENSG00000135750,ENSG00000102057,ENSG00000069424,ENSG00000172354	-1.679	0.046536797	0	0.013852	0.226
REACTOME	REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	116	ENSG00000188486,ENSG00000270882,ENSG00000134698,ENSG00000197061,ENSG00000277075,ENSG00000007968,ENSG00000274641,ENSG00000221983,ENSG00000278588,ENSG00000197837,ENSG00000234289,ENSG00000101412,ENSG00000092847,ENSG00000275714,ENSG00000170345,ENSG00000183598,ENSG00000034152,ENSG00000203852,ENSG00000141570,ENSG00000273802,ENSG00000177606,ENSG00000184678,ENSG00000276180,ENSG00000277157,ENSG00000203811,ENSG00000197153,ENSG00000286522,ENSG00000184260,ENSG00000076984,ENSG00000275379,ENSG00000180596,ENSG00000273983,ENSG00000150991,ENSG00000197903,ENSG00000287080,ENSG00000185386,ENSG00000273542,ENSG00000274618,ENSG00000185130,ENSG00000276966,ENSG00000158406,ENSG00000197238,ENSG00000158373,ENSG00000141503,ENSG00000198625,ENSG00000278705,ENSG00000129355,ENSG00000278828,ENSG00000132510,ENSG00000273703,ENSG00000124635,ENSG00000277775,ENSG00000270276,ENSG00000123080,ENSG00000141582,ENSG00000180573,ENSG00000102882	-2.063	0.000042	0	0.014532	0.22396
REACTOME	REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	56	ENSG00000197170,ENSG00000127922,ENSG00000143106,ENSG00000163636,ENSG00000143947,ENSG00000100519,ENSG00000173692,ENSG00000115233,ENSG00000125818,ENSG00000131467,ENSG00000100911,ENSG00000100804,ENSG00000136930,ENSG00000068878,ENSG00000185627,ENSG00000041357,ENSG00000108854,ENSG00000198742,ENSG00000101843,ENSG00000101182,ENSG00000161057,ENSG00000100567,ENSG00000108671,ENSG00000087191,ENSG00000170315,ENSG00000095261,ENSG00000008018,ENSG00000175166,ENSG00000103035,ENSG00000165916,ENSG00000129084	2.12	0.000154944	0	0.015074	0.24063
