x;symbol;baseMean;FoldChange;log2FoldChange;lfcSE;stat;pvalue;padj;description;;;;;
ENSRNOG00000000044;Tmem175;2205.388685;1.071834076;0.100081589;0.105647117;0.947319638;0.343475927;0.998987911;transmembrane protein 175;;;;;
ENSRNOG00000000047;Cd82;640.1310104;1.138418323;0.187030788;0.290322297;0.644217789;0.519434217;0.998987911;Cd82 molecule;;;;;
ENSRNOG00000000048;Gak;14008.4416;0.910324282;-0.135547531;0.180007428;-0.753010766;0.451443444;0.998987911;cyclin G associated kinase;;;;;
ENSRNOG00000000054;Abhd8;4542.920355;0.794329415;-0.332190666;0.277471934;-1.197204568;0.23122683;0.998987911;abhydrolase domain containing 8;;;;;
ENSRNOG00000000062;Pcgf3;2272.418661;1.046987774;0.066244596;0.097665507;0.678280363;0.497593947;0.998987911;polycomb group ring finger 3;;;;;
ENSRNOG00000000064;Atp5me;1461.667389;0.920644607;-0.11928375;0.147799738;-0.807063337;0.419629993;0.998987911;ATP synthase membrane subunit e;;;;;
ENSRNOG00000000065;Pde6b;5.482956637;0.945618434;-0.080669935;0.761004885;-0.106004491;0.915578789;0.998987911;phosphodiesterase 6B;;;;;
ENSRNOG00000000066;Fbxo28;1380.546957;1.13986114;0.188858083;0.136547927;1.383090081;0.166637247;0.998987911;F-box protein 28;;;;;
ENSRNOG00000000068;Ppp2r5a;1880.702693;0.987095927;-0.018737801;0.0808294;-0.231819128;0.8166785;0.998987911;protein phosphatase 2; regulatory subunit B'; alpha;;;
ENSRNOG00000000070;Dr1;1815.171938;0.969555119;-0.044605178;0.127473895;-0.349916176;0.726401607;0.998987911;down-regulator of transcription 1;;;;;
ENSRNOG00000000073;Tmed5;1942.990879;1.129802093;0.176070079;0.155008439;1.135874147;0.256009239;0.998987911;transmembrane p24 trafficking protein 5;;;;;
ENSRNOG00000000075;Mtf2;1364.060586;1.083465458;0.11565316;0.109116133;1.059908898;0.289186047;0.998987911;metal response element binding transcription factor 2;;;;;
ENSRNOG00000000081;Antxr2;238.1253708;0.831433739;-0.266326802;0.259061121;-1.028046201;0.303928095;0.998987911;ANTXR cell adhesion molecule 2;;;;;
ENSRNOG00000000082;Hltf;1703.574026;1.092598625;0.127763513;0.177865431;0.718315597;0.472562716;0.998987911;helicase-like transcription factor;;;;;
ENSRNOG00000000091;Smad9;558.9773765;1.053425083;0.075087717;0.18521237;0.405414156;0.685173107;0.998987911;SMAD family member 9;;;;;
ENSRNOG00000000095;Gpr89b;2378.194722;1.009358131;0.013438148;0.080884704;0.166139549;0.868047131;0.998987911;G protein-coupled receptor 89B;;;;;
ENSRNOG00000000096;Pdzk1;2.983538388;1.44214847;0.528219699;0.849546451;0.621766706;0.534095282;0.998987911;PDZ domain containing 1;;;;;
ENSRNOG00000000097;NA;1.570621376;0.504714032;-0.986461899;1.157337011;-0.852354923;0.394017131;0.998987911;NA;;;;;
ENSRNOG00000000098;Rnf115;3113.633032;0.939592044;-0.089893598;0.133515922;-0.673279982;0.500769186;0.998987911;ring finger protein 115;;;;;
ENSRNOG00000000104;Thoc3;712.618577;0.93079341;-0.103467099;0.107904936;-0.958872716;0.337622871;0.998987911;THO complex subunit 3;;;;;
ENSRNOG00000000105;Cplx2;18854.15137;0.812781662;-0.299060242;0.260070169;-1.149921359;0.250176263;0.998987911;complexin 2;;;;;
ENSRNOG00000000108;Aga;843.986137;1.117306656;0.160025202;0.182529416;0.87670911;0.380644657;0.998987911;aspartylglucosaminidase;;;;;
ENSRNOG00000000109;Fgf20;18.76807743;1.129385911;0.175538539;0.397160424;0.441983964;0.65850081;0.998987911;fibroblast growth factor 20;;;;;
ENSRNOG00000000111;Coprs;390.3280592;0.946768646;-0.078916166;0.107637951;-0.733163027;0.463459003;0.998987911;coordinator of PRMT5 and differentiation stimulator;;;;;
ENSRNOG00000000112;Champ1;1297.4094;1.018700775;0.026730347;0.120087191;0.222591162;0.823853716;0.998987911;chromosome alignment maintaining phosphoprotein 1;;;;;
ENSRNOG00000000113;Elac1;590.9556643;0.974907043;-0.03666343;0.104854825;-0.34965897;0.726594649;0.998987911;elaC ribonuclease Z 1;;;;;
ENSRNOG00000000121;Pigv;285.8207721;0.99851379;-0.002145742;0.14166252;-0.01514686;0.987915017;0.999104642;phosphatidylinositol glycan anchor biosynthesis; class V;;;;
ENSRNOG00000000122;Ak2;298.9628412;0.962403706;-0.055285898;0.159924822;-0.345699292;0.729568717;0.998987911;adenylate kinase 2;;;;;
ENSRNOG00000000123;Rnf19b;1493.726653;0.907237285;-0.140448162;0.175006259;-0.802532224;0.422245156;0.998987911;ring finger protein 19B;;;;;
ENSRNOG00000000127;Kpna6;1686.456319;0.949111912;-0.075349886;0.119608871;-0.629969044;0.528714838;0.998987911;karyopherin subunit alpha 6;;;;;
ENSRNOG00000000129;Phf24;12763.58228;1.001031444;0.001487293;0.093537846;0.015900437;0.987313822;0.998987911;PHD finger protein 24;;;;;
ENSRNOG00000000130;Dnajb5;4587.796374;1.000770108;0.001110604;0.167999931;0.00661074;0.994725431;0.999791023;DnaJ heat shock protein family (Hsp40) member B5;;;;;
ENSRNOG00000000133;Txndc15;2418.898826;1.004100975;0.005904357;0.085485935;0.069068175;0.944935353;0.998987911;thioredoxin domain containing 15;;;;;
ENSRNOG00000000137;Ly86;115.4989167;0.879118976;-0.185869668;0.23293295;-0.797953523;0.424897462;0.998987911;lymphocyte antigen 86;;;;;
ENSRNOG00000000138;Glis1;138.7115953;0.881251398;-0.182374454;0.300791375;-0.606315439;0.544305309;0.998987911;GLIS family zinc finger 1;;;;;
ENSRNOG00000000142;Plxdc2;2281.294961;1.02711756;0.038601317;0.124877527;0.309113398;0.757235268;0.998987911;plexin domain containing 2;;;;;
ENSRNOG00000000145;Pik3r3;1782.813436;1.059844174;0.083852164;0.1181895;0.709472201;0.478031497;0.998987911;phosphoinositide-3-kinase regulatory subunit 3;;;;;
ENSRNOG00000000150;Dnajc1;1263.318792;1.18089718;0.239883356;0.194780402;1.231557966;0.218114251;0.998987911;DnaJ heat shock protein family (Hsp40) member C1;;;;;
ENSRNOG00000000151;Ldlrap1;431.1366927;1.387486416;0.472473647;0.314720675;1.501247566;0.133291541;0.998987911;low density lipoprotein receptor adaptor protein 1;;;;;
ENSRNOG00000000155;Cog3;1477.446834;1.093628212;0.129122365;0.106352713;1.214095643;0.224711204;0.998987911;component of oligomeric golgi complex 3;;;;;
ENSRNOG00000000156;Megf6;142.9430681;0.48885039;-1.03253509;0.461031637;-2.239618732;0.025115686;0.998987911;multiple EGF-like-domains 6;;;;;
ENSRNOG00000000157;Atg12;3321.890029;0.960605485;-0.057984049;0.092795555;-0.624858051;0.532064227;0.998987911;autophagy related 12;;;;;
ENSRNOG00000000158;Cdo1;1966.870199;0.945620179;-0.080667272;0.184944701;-0.436169687;0.66271362;0.998987911;cysteine dioxygenase type 1;;;;;
ENSRNOG00000000161;Chm;2259.927915;1.039062149;0.055281949;0.166530909;0.33196209;0.739917885;0.998987911;CHM Rab escort protein;;;;;
ENSRNOG00000000164;Lamp2;6217.399221;1.028296377;0.04025614;0.130879505;0.307581697;0.758400649;0.998987911;lysosomal-associated membrane protein 2;;;;;
ENSRNOG00000000165;Pfkfb1;32.85731719;1.173759591;0.231136946;0.377494791;0.612291751;0.540344747;0.998987911;6-phosphofructo-2-kinase/fructose-2;6-biphosphatase 1;;;;
ENSRNOG00000000166;Apex2;254.8171507;1.18767398;0.248138866;0.162800848;1.524186568;0.127462113;0.998987911;apurinic/apyrimidinic endodeoxyribonuclease 2;;;;;
ENSRNOG00000000167;Alas2;99.10783781;0.767350954;-0.382041538;0.304748298;-1.253629764;0.209976608;0.998987911;5'-aminolevulinate synthase 2;;;;;
ENSRNOG00000000168;Gatm;5441.977127;1.033877236;0.048064888;0.179126368;0.268329498;0.788445702;0.998987911;glycine amidinotransferase;;;;;
ENSRNOG00000000169;Afg2b;201.9110886;1.012837166;0.01840225;0.195180194;0.094283388;0.924884045;0.998987911;AFG2 AAA ATPase homolog B;;;;;
ENSRNOG00000000170;Slc30a4;4036.261646;0.95896062;-0.060456524;0.203669718;-0.296836095;0.766591647;0.998987911;solute carrier family 30 member 4;;;;;
ENSRNOG00000000172;Sqor;203.2661287;0.866678113;-0.206431824;0.182176672;-1.133140821;0.257155121;0.998987911;sulfide quinone oxidoreductase;;;;;
ENSRNOG00000000175;Mier2;612.6976508;1.179617523;0.238319158;0.263911267;0.9030276;0.366511247;0.998987911;MIER family member 2;;;;;
ENSRNOG00000000177;Plpp2;52.60503136;1.594892808;0.673459464;0.429056807;1.569627736;0.116501742;0.998987911;phospholipid phosphatase 2;;;;;
ENSRNOG00000000184;Tmprss6;2.407253081;0.620539412;-0.688405252;1.014764203;-0.678389373;0.497524845;0.998987911;transmembrane serine protease 6;;;;;
ENSRNOG00000000185;Mpst;304.5208064;0.896842732;-0.157073075;0.247557298;-0.634491797;0.525759919;0.998987911;mercaptopyruvate sulfurtransferase;;;;;
ENSRNOG00000000186;Tst;1167.005735;0.872582748;-0.196636145;0.223094183;-0.881404179;0.378099097;0.998987911;thiosulfate sulfurtransferase;;;;;
ENSRNOG00000000187;Csf2rb;61.46448221;0.725146221;-0.463656161;0.256714351;-1.806117028;0.070900062;0.998987911;colony stimulating factor 2 receptor subunit beta;;;;;
ENSRNOG00000000195;Vwa5a;514.0997172;0.909726504;-0.136495209;0.141357849;-0.965600494;0.334244128;0.998987911;von Willebrand factor A domain containing 5A;;;;;
ENSRNOG00000000196;Cyp19a1;48.77848723;1.346389807;0.429096159;0.317769916;1.350336007;0.176908227;0.998987911;cytochrome P450; family 19; subfamily a; polypeptide 1;;
ENSRNOG00000000201;Gsta5;1.285909535;3.240215415;1.696089729;1.52213015;1.114286928;0.265156113;0.998987911;glutathione S-transferase alpha 5;;;;;
ENSRNOG00000000204;Syncrip;4461.719821;1.021083849;0.030101342;0.15343041;0.196188892;0.844462322;0.998987911;synaptotagmin binding; cytoplasmic RNA interacting protein;;;;
ENSRNOG00000000219;Ano10;1269.491967;0.936415053;-0.094779968;0.112811522;-0.840162121;0.400817493;0.998987911;anoctamin 10;;;;;
ENSRNOG00000000221;Abhd5;867.320199;0.96204194;-0.055828306;0.139902738;-0.399050843;0.689855742;0.998987911;abhydrolase domain containing 5; lysophosphatidic acid acyltransferase;;;;
ENSRNOG00000000230;Lmf1;869.2603266;1.13170659;0.178499968;0.150235196;1.188136819;0.234779511;0.998987911;lipase maturation factor 1;;;;;
ENSRNOG00000000231;Kctd17;2663.651728;0.911536283;-0.133628012;0.234343799;-0.570222095;0.568527072;0.998987911;potassium channel tetramerization domain containing 17;;;;;
ENSRNOG00000000233;Grm6;89.15816769;0.941350035;-0.087196815;0.219147218;-0.397891501;0.690710165;0.998987911;glutamate metabotropic receptor 6;;;;;
ENSRNOG00000000236;Zfp207;2412.115278;1.12681835;0.172254963;0.134687135;1.278926623;0.200922897;0.998987911;zinc finger protein 207;;;;;
ENSRNOG00000000237;RGD1310429;1537.210737;0.981341199;-0.027173265;0.127851267;-0.212538098;0.831687259;0.998987911;similar to Protein Njmu-R1;;;;;
ENSRNOG00000000239;Ccl7;3.114657285;1.320742316;0.401349016;0.836833253;0.479604527;0.631508627;0.998987911;C-C motif chemokine ligand 7;;;;;
ENSRNOG00000000244;Coil;724.7194794;0.967260857;-0.048023078;0.115399875;-0.416144976;0.677303921;0.998987911;coilin;;;;;
ENSRNOG00000000245;Slc16a6;199.6673463;1.012309618;0.017650611;0.321400597;0.05491779;0.956203959;0.998987911;solute carrier family 16; member 6;;;;
ENSRNOG00000000246;Amz2;3485.710971;1.021603948;0.030836005;0.098991077;0.311502874;0.755418359;0.998987911;archaelysin family metallopeptidase 2;;;;;
ENSRNOG00000000247;Mfsd11;1293.370167;1.020339041;0.029048614;0.175995768;0.165052913;0.868902335;0.998987911;major facilitator superfamily domain containing 11;;;;;
ENSRNOG00000000248;Srsf2;4299.594917;1.158732197;0.212547173;0.101790876;2.088076872;0.036790901;0.998987911;serine and arginine rich splicing factor 2;;;;;
ENSRNOG00000000249;Mettl23;210.0893155;1.131937122;0.17879382;0.131999355;1.354505256;0.175575238;0.998987911;methyltransferase 23; arginine;;;;
ENSRNOG00000000250;Jmjd6;442.6226817;1.06487614;0.090685635;0.09755342;0.929599753;0.352578355;0.998987911;jumonji domain containing 6; arginine demethylase and lysine hydroxylase;;;;
ENSRNOG00000000251;St6galnac1;3.177157683;1.239958079;0.310291346;1.098184312;0.282549425;0.777522254;0.998987911;ST6 N-acetylgalactosaminide alpha-2;6-sialyltransferase 1;;;;
ENSRNOG00000000257;Smpd3;2938.160772;0.865600638;-0.208226533;0.122737136;-1.696524298;0.089786633;0.998987911;sphingomyelin phosphodiesterase 3;;;;;
ENSRNOG00000000258;Prmt7;1500.130606;0.959697437;-0.059348455;0.092574588;-0.641087974;0.521465527;0.998987911;protein arginine methyltransferase 7;;;;;
ENSRNOG00000000262;Zfp821;1571.178195;1.090850949;0.125453989;0.112158064;1.118546313;0.263333738;0.998987911;zinc finger protein 821;;;;;
ENSRNOG00000000264;Def8;1107.947358;1.002479428;0.003572631;0.19564053;0.018261201;0.985430479;0.998987911;differentially expressed in FDCP 8 homolog;;;;;
ENSRNOG00000000274;Phyhipl;4570.656824;1.071087749;0.099076677;0.17555047;0.564377168;0.572497474;0.998987911;phytanoyl-CoA 2-hydroxylase interacting protein-like;;;;;
ENSRNOG00000000275;Fam13c;3091.181374;0.996343934;-0.005284254;0.094055645;-0.056182207;0.955196656;0.998987911;family with sequence similarity 13; member C;;;;
ENSRNOG00000000277;Tet1;415.8059731;1.219749895;0.286585359;0.163755256;1.750083425;0.080103919;0.998987911;tet methylcytosine dioxygenase 1;;;;;
ENSRNOG00000000279;Rtn4ip1;651.7746645;1.020608446;0.029429486;0.145928342;0.201670806;0.840174087;0.998987911;reticulon 4 interacting protein 1;;;;;
ENSRNOG00000000281;Prodh;2240.197795;0.905668295;-0.142945341;0.25928579;-0.551304184;0.581425171;0.998987911;proline dehydrogenase;;;;;
ENSRNOG00000000283;Ess2;543.1871813;0.979949454;-0.029220759;0.140334531;-0.208222158;0.835055508;0.998987911;ess-2 splicing factor homolog;;;;;
ENSRNOG00000000288;Scarf2;124.9187754;0.650396178;-0.620609316;0.331447996;-1.872418372;0.061148745;0.998987911;scavenger receptor class F; member 2;;;;
ENSRNOG00000000299;Foxo3;1592.144025;0.874712859;-0.193118591;0.100620995;-1.919267351;0.054950508;0.998987911;forkhead box O3;;;;;
ENSRNOG00000000302;Sesn1;1726.97866;0.952983539;-0.0694768;0.099172519;-0.70056504;0.483574502;0.998987911;sestrin 1;;;;;
ENSRNOG00000000303;Cep57l1;506.634932;1.179683502;0.23839985;0.13984899;1.704694834;0.088251354;0.998987911;centrosomal protein 57-like 1;;;;;
ENSRNOG00000000304;Cd164;3660.257988;1.043856631;0.061923578;0.141930646;0.436294625;0.662622981;0.998987911;CD164 molecule;;;;;
ENSRNOG00000000306;Smpd2;190.3312512;0.959865265;-0.059096184;0.197549646;-0.299145985;0.764828661;0.998987911;sphingomyelin phosphodiesterase 2;;;;;
ENSRNOG00000000307;Mical1;318.879005;0.976533344;-0.034258788;0.305372793;-0.112186774;0.910675316;0.998987911;microtubule associated monooxygenase; calponin and LIM domain containing 1;;;;
ENSRNOG00000000308;Zbtb24;463.6282543;1.047475821;0.066916942;0.089210532;0.750101372;0.453193653;0.998987911;zinc finger and BTB domain containing 24;;;;;
ENSRNOG00000000312;Fig4;2355.537092;1.004468638;0.006432521;0.069662627;0.092338187;0.926429349;0.998987911;FIG4 phosphoinositide 5-phosphatase;;;;;
ENSRNOG00000000314;Sec63;4845.028071;0.999687492;-0.000450925;0.126950354;-0.003551977;0.997165938;0.999791023;SEC63 homolog; protein translocation regulator;;;;
ENSRNOG00000000316;Sobp;5120.497454;1.037169331;0.052651452;0.128667636;0.409205094;0.682389156;0.998987911;sine oculis binding protein homolog;;;;;
ENSRNOG00000000321;Cd24;3062.260127;0.936882029;-0.094060697;0.161543447;-0.582262537;0.560389855;0.998987911;CD24 molecule;;;;;
ENSRNOG00000000322;Atg5;835.3128666;1.013468825;0.019301711;0.101078043;0.190958499;0.848558108;0.998987911;autophagy related 5;;;;;
ENSRNOG00000000323;Prdm1;34.4783798;0.97449438;-0.037274229;0.442119556;-0.084308031;0.932811528;0.998987911;PR/SET domain 1;;;;;
ENSRNOG00000000327;Hace1;4063.725763;0.994549615;-0.007884751;0.086127167;-0.091547777;0.927057345;0.998987911;HECT domain and ankyrin repeat containing; E3 ubiquitin protein ligase 1;;;;
ENSRNOG00000000340;Rtraf;2066.247791;1.042085419;0.059473539;0.126152206;0.471442717;0.637324617;0.998987911;RNA transcription; translation and transport factor;;;;
ENSRNOG00000000341;Nid2;163.3301835;0.715543375;-0.482888871;0.390570604;-1.236367681;0.216321924;0.998987911;nidogen 2;;;;;
ENSRNOG00000000368;Grik2;8341.252734;1.188400359;0.249020946;0.193438502;1.287339095;0.197976123;0.998987911;glutamate ionotropic receptor kainate type subunit 2;;;;;
ENSRNOG00000000373;Ctnna3;752.8742497;1.37818294;0.462767404;0.311687413;1.484716367;0.137618974;0.998987911;catenin alpha 3;;;;;
ENSRNOG00000000383;Mypn;66.86818743;0.889312858;-0.16923705;0.324846386;-0.520975629;0.602383749;0.998987911;myopalladin;;;;;
ENSRNOG00000000386;Pbld1;34.25303501;0.924988508;-0.112492653;0.273389747;-0.411473563;0.680725323;0.998987911;phenazine biosynthesis-like protein domain containing 1;;;;;
ENSRNOG00000000387;Dna2;1698.807208;1.074561233;0.103747696;0.082145671;1.262972172;0.206599181;0.998987911;DNA replication helicase/nuclease 2;;;;;
ENSRNOG00000000392;Supv3l1;1237.748685;1.047847536;0.067428818;0.10193548;0.661485259;0.508301165;0.998987911;Suv3 like RNA helicase;;;;;
ENSRNOG00000000394;Srgn;458.5514581;0.850982541;-0.232798561;0.219075053;-1.062642952;0.287943901;0.998987911;serglycin;;;;;
ENSRNOG00000000395;Kifbp;4178.99561;0.94026892;-0.088854663;0.132265993;-0.67178767;0.50171888;0.998987911;kinesin family binding protein;;;;;
ENSRNOG00000000396;Ddx50;2135.932879;1.063325174;0.088582853;0.11834101;0.748538929;0.454135153;0.998987911;DExD-box helicase 50;;;;;
ENSRNOG00000000397;Ccar1;3761.776213;1.15914005;0.213054887;0.142367651;1.496511922;0.134520304;0.998987911;cell division cycle and apoptosis regulator 1;;;;;
ENSRNOG00000000398;Zup1;934.0453582;1.174864566;0.232494458;0.140184485;1.65848922;0.097218762;0.998987911;zinc finger containing ubiquitin peptidase 1;;;;;
ENSRNOG00000000406;Ros1;73.85501522;0.75279397;-0.409673022;0.430384195;-0.951877479;0.341159122;0.998987911;ROS proto-oncogene 1 ; receptor tyrosine kinase;;;;
ENSRNOG00000000407;Dcbld1;177.7903241;1.006676675;0.009600392;0.217540464;0.044131523;0.964799566;0.998987911;discoidin; CUB and LCCL domain containing 1;;;;
ENSRNOG00000000408;Gopc;3423.938965;1.043946787;0.062048175;0.152357675;0.407253359;0.683821915;0.998987911;golgi associated PDZ and coiled-coil motif containing;;;;;
ENSRNOG00000000410;Nepn;2.208189117;2.01761973;1.012654289;0.94121291;1.075903526;0.281970405;0.998987911;nephrocan;;;;;
ENSRNOG00000000411;Nus1;3477.133705;1.032358417;0.045943937;0.131996736;0.348068736;0.727788563;0.998987911;NUS1 dehydrodolichyl diphosphate synthase subunit;;;;;
ENSRNOG00000000412;Slc35f1;5196.185076;1.118015075;0.160939642;0.205891996;0.78167022;0.434408407;0.998987911;solute carrier family 35; member F1;;;;
ENSRNOG00000000414;Cep85l;784.2909464;1.135013844;0.182709895;0.177500432;1.029349016;0.303315698;0.998987911;centrosomal protein 85-like;;;;;
ENSRNOG00000000415;Asf1a;804.4825912;0.968531911;-0.046128512;0.114904308;-0.40145154;0.68808771;0.998987911;anti-silencing function 1A histone chaperone;;;;;
ENSRNOG00000000417;Numa1;3859.546795;1.086232558;0.119333012;0.105231875;1.134000619;0.256794288;0.998987911;nuclear mitotic apparatus protein 1;;;;;
ENSRNOG00000000420;Nelfe;822.9687406;0.932648008;-0.100595401;0.141716464;-0.709835666;0.477806049;0.998987911;negative elongation factor complex member E;;;;;
ENSRNOG00000000421;Skic2;1126.938545;0.917222214;-0.124656799;0.201186335;-0.619608677;0.535515452;0.998987911;SKI2 subunit of superkiller complex;;;;;
ENSRNOG00000000422;Dxo;153.7122496;0.832344179;-0.26474788;0.224143552;-1.181153226;0.237541859;0.998987911;decapping exoribonuclease;;;;;
ENSRNOG00000000431;Atf6b;1645.347318;0.922648802;-0.116146492;0.213693667;-0.543518645;0.586772757;0.998987911;activating transcription factor 6 beta;;;;;
ENSRNOG00000000432;Fkbpl;324.6964549;0.929820011;-0.10497662;0.182598361;-0.574904505;0.565355883;0.998987911;FKBP prolyl isomerase like;;;;;
ENSRNOG00000000433;Prrt1;3626.92197;1.020845861;0.029765048;0.139201205;0.21382752;0.830681564;0.998987911;proline-rich transmembrane protein 1;;;;;
ENSRNOG00000000435;Ppt2;682.7527875;1.050658353;0.071293619;0.184121842;0.387208914;0.698601551;0.998987911;palmitoyl-protein thioesterase 2;;;;;
ENSRNOG00000000436;Egfl8;54.6835835;0.766398226;-0.383833872;0.334357902;-1.147973087;0.250979674;0.998987911;EGF-like-domain; multiple 8;;;;
ENSRNOG00000000437;Agpat1;4351.410185;0.854108132;-0.227509365;0.183907887;-1.237083238;0.216056182;0.998987911;1-acylglycerol-3-phosphate O-acyltransferase 1;;;;;
ENSRNOG00000000438;Rnf5;1333.230119;0.884102416;-0.177714591;0.167287775;-1.062328623;0.288086524;0.998987911;ring finger protein 5;;;;;
ENSRNOG00000000439;Ager;76.08742604;0.90118017;-0.150112527;0.339692203;-0.441907485;0.658556154;0.998987911;advanced glycosylation end product-specific receptor;;;;;
ENSRNOG00000000440;Pbx2;1962.367173;0.9684756;-0.046212393;0.147243916;-0.313849252;0.753635535;0.998987911;PBX homeobox 2;;;;;
ENSRNOG00000000441;Gpsm3;53.23079815;0.768030687;-0.380764139;0.28393603;-1.341020862;0.179913679;0.998987911;G-protein signaling modulator 3;;;;;
ENSRNOG00000000442;Notch4;331.460636;0.797543019;-0.326365755;0.234672319;-1.390729666;0.164307418;0.998987911;notch receptor 4;;;;;
ENSRNOG00000000451;RT1-Ba;6.726514213;0.221878881;-2.172155743;0.984292551;-2.206819243;NA;NA;RT1 class II; locus Ba;;;;
ENSRNOG00000000454;RT1-DOb;2.735168903;0.567957444;-0.81614526;1.180629416;-0.691279795;0.489389727;0.998987911;RT1 class II; locus DOb;;;;
ENSRNOG00000000455;Tap2;164.2871223;0.800316053;-0.321358247;0.212179004;-1.514561953;0.129883374;0.998987911;transporter 2; ATP binding cassette subfamily B member;;;;
ENSRNOG00000000456;Psmb8;140.6172632;0.770947264;-0.375295917;0.189596289;-1.979447594;0.047765634;0.998987911;proteasome 20S subunit beta 8;;;;;
ENSRNOG00000000457;Tap1;81.32398599;0.83762626;-0.255621422;0.330534911;-0.773356802;0.439311248;0.998987911;transporter 1; ATP binding cassette subfamily B member;;;;
ENSRNOG00000000459;Psmb9;58.7855204;0.787153519;-0.345283062;0.328525509;-1.051008377;0.293254743;0.998987911;proteasome 20S subunit beta 9;;;;;
ENSRNOG00000000461;Brd2;5177.954391;0.957627206;-0.062463956;0.10734228;-0.581913817;0.560624733;0.998987911;bromodomain containing 2;;;;;
ENSRNOG00000000463;Col11a2;4120.715456;0.930510093;-0.103906296;0.309351286;-0.33588448;0.736957981;0.998987911;collagen type XI alpha 2 chain;;;;;
ENSRNOG00000000464;Rxrb;1451.780815;0.893220959;-0.162910992;0.266788809;-0.610636528;0.541440235;0.998987911;retinoid X receptor beta;;;;;
ENSRNOG00000000466;Hsd17b8;387.0119638;0.909387473;-0.137032965;0.169494399;-0.808480786;0.418813863;0.998987911;hydroxysteroid (17-beta) dehydrogenase 8;;;;;
ENSRNOG00000000467;Ring1;642.4039131;0.99158037;-0.012198384;0.119295261;-0.102253722;0.918555288;0.998987911;ring finger protein 1;;;;;
ENSRNOG00000000470;Vps52;2610.930616;0.920278299;-0.119857886;0.139688808;-0.858034999;0.390873138;0.998987911;VPS52 subunit of GARP complex;;;;;
ENSRNOG00000000471;B3galt4;2022.766155;0.923067953;-0.115491237;0.145488614;-0.793816326;0.427302367;0.998987911;Beta-1;3-galactosyltransferase 4;;;;
ENSRNOG00000000473;Pfdn6;1436.332042;0.877862181;-0.187933632;0.173403417;-1.083794283;0.278456021;0.998987911;prefoldin subunit 6;;;;;
ENSRNOG00000000474;Ralgdsl2;692.8069808;1.021125656;0.03016041;0.253091746;0.119167892;0.905142344;0.998987911;ral guanine nucleotide dissociation stimulator like 2;;;;;
ENSRNOG00000000477;Daxx;794.7604809;0.971559725;-0.041625409;0.176891949;-0.235315452;0.813963902;0.998987911;death-domain associated protein;;;;;
ENSRNOG00000000479;Kifc1;27.84202105;0.793007334;-0.334593886;0.333772184;-1.002461865;0.316120576;0.998987911;kinesin family member C1;;;;;
ENSRNOG00000000480;Phf1;676.9188829;0.994977847;-0.007263691;0.280328705;-0.025911334;0.97932806;0.998987911;PHD finger protein 1;;;;;
