;symbol;baseMean;FoldChange;log2FoldChange;lfcSE;stat;pvalue;padj;description;;;;
ENSRNOG00000047014;Homer1;12686.36557;1.754458902;0.811026153;0.208973545;3.880999167;0.000104028;0.087330444;homer scaffold protein 1;;;;
ENSRNOG00000047545;Adra2a;431.3938414;0.638677583;-0.646840281;0.167795747;-3.854926547;0.000115764;0.087330444;adrenoceptor alpha 2A;;;;
ENSRNOG00000055650;Pou2f2;723.553512;1.575416358;0.655733161;0.16821307;3.898229549;9.69E-05;0.087330444;POU class 2 homeobox 2;;;;
ENSRNOG00000020455;Cst6;233.8056486;0.510417326;-0.970250792;0.255020468;-3.804599687;0.000142034;0.097830345;cystatin E/M;;;;
ENSRNOG00000020636;Spint2;310.6300826;0.501800708;-0.994813589;0.261090407;-3.810226507;0.00013884;0.097830345;serine peptidase inhibitor; Kunitz type;2;;
ENSRNOG00000062731;Diras2;12078.14987;1.597757648;0.676048593;0.179224689;3.772072899;0.000161897;0.10686547;DIRAS family GTPase 2;;;;
ENSRNOG00000018903;Pik3r1;4323.598287;1.471552025;0.557338548;0.148820503;3.745038733;0.000180366;0.114294293;phosphoinositide-3-kinase regulatory subunit 1;;;;
ENSRNOG00000012634;Fbxo10;2397.208333;0.65417075;-0.612260841;0.165654526;-3.696010332;0.000219014;0.133446953;F-box protein 10;;;;
ENSRNOG00000030107;LOC100362298;328.7533301;0.549468515;-0.86389128;0.234384134;-3.685792483;0.000227992;0.133772238;ribosomal protein S18-like;;;;
ENSRNOG00000013194;Rps6ka2;4408.818235;0.661613024;-0.595940459;0.16410574;-3.631441889;0.000281842;0.148815968;ribosomal protein S6 kinase A2;;;;
ENSRNOG00000019328;Phgdh;1347.305978;0.651591308;-0.617960737;0.169821993;-3.638873429;0.000273833;0.148815968;phosphoglycerate dehydrogenase;;;;
ENSRNOG00000027089;Ell2;2438.178482;1.427653968;0.513646344;0.14177379;3.622999307;0.000291207;0.148815968;elongation factor for RNA polymerase II 2;;;;
ENSRNOG00000027271;NA;787.4900791;0.534230636;-0.904465385;0.248979308;-3.632692981;0.000280479;0.148815968;NA;;;;
ENSRNOG00000005108;Wfs1;7293.224341;0.495384747;-1.013378645;0.281329132;-3.602110591;0.000315644;0.156263518;wolframin ER transmembrane glycoprotein;;;;
ENSRNOG00000019342;Sult1a1;374.8813616;0.558199745;-0.84114663;0.236924887;-3.550267097;0.00038484;0.179313029;sulfotransferase family 1A member 1;;;;
ENSRNOG00000029958;RGD1563861;413.9367859;0.454498445;-1.137652738;0.320276297;-3.552097827;0.000382173;0.179313029;similar to ribosomal protein L10;;;;
ENSRNOG00000020185;Wdr6;4018.559461;0.53023257;-0.915302802;0.261099438;-3.50557171;0.000455628;0.19508256;WD repeat domain 6;;;;
ENSRNOG00000031643;Dchs1;720.1235379;0.605910162;-0.722824193;0.206033518;-3.50828448;0.000451006;0.19508256;dachsous cadherin-related 1;;;;
ENSRNOG00000058317;Pnck;1632.885643;0.517139494;-0.951374607;0.271086002;-3.509493658;0.000448961;0.19508256;pregnancy up-regulated nonubiquitous CaM kinase;;;;
ENSRNOG00000004099;R3hdm1;13930.37417;1.556140675;0.637972486;0.183397441;3.478633518;0.000503977;0.204935318;R3H domain containing 1;;;;
ENSRNOG00000020194;Hes6;289.1779045;0.547951978;-0.867878632;0.249508758;-3.478349372;0.000504512;0.204935318;hes family bHLH transcription factor 6;;;;
ENSRNOG00000014363;Arhgef3;3181.277699;1.45238751;0.538426429;0.15570117;3.458075676;0.000544049;0.210215048;Rho guanine nucleotide exchange factor 3;;;;
ENSRNOG00000062866;NA;230.559709;1.590566359;0.669540563;0.193435556;3.461310716;0.000537552;0.210215048;NA;;;;
ENSRNOG00000038066;Nalf2;420.2126335;0.624655872;-0.67886648;0.196903813;-3.447706111;0.000565369;0.213251747;NALCN channel auxiliary factor 2;;;;
ENSRNOG00000006595;Htr3a;250.9296702;0.574038529;-0.800780523;0.233379877;-3.431232095;0.000600846;0.221362951;5-hydroxytryptamine receptor 3A;;;;
ENSRNOG00000003300;Btg2;937.2979191;0.558474557;-0.840436539;0.246280619;-3.412515948;0.000643662;0.227393339;BTG anti-proliferation factor 2;;;;
ENSRNOG00000024159;Fcer1g;447.8766428;2.003170735;1.002285391;0.29430822;3.405563701;0.000660276;0.227393339;Fc epsilon receptor Ig;;;;
ENSRNOG00000068174;NA;141.6200662;0.439307653;-1.186696462;0.348357389;-3.406548849;0.000657898;0.227393339;NA;;;;
ENSRNOG00000017969;Olfm3;2878.92757;1.555312416;0.637204404;0.187763376;3.393656511;0.000689661;0.232459901;olfactomedin 3;;;;
ENSRNOG00000012804;C1qc;462.3092831;0.59207425;-0.756149985;0.223252731;-3.386968583;0.000706695;0.23323873;complement C1q C chain;;;;
ENSRNOG00000008026;C2cd4c;902.2206054;0.408395179;-1.29196226;0.386738988;-3.340656878;0.000835804;0.250677345;C2 calcium-dependent domain containing 4C;;;;
ENSRNOG00000008257;Mfap2;32.86964493;0.263904276;-1.92191337;0.574634195;-3.344585803;0.000824055;0.250677345;microfibril associated protein 2;;;;
ENSRNOG00000015285;Lrp4;4502.674098;0.730264982;-0.453508044;0.136004081;-3.334517912;0.000854474;0.250677345;LDL receptor related protein 4;;;;
ENSRNOG00000017604;Ripor1;4488.157143;1.396437694;0.481751205;0.143608148;3.354623069;0.000794732;0.250677345;RHO family interacting cell polarization regulator 1;;;;
ENSRNOG00000025527;Mtcl1;3588.367122;1.449445437;0.535501026;0.159918463;3.348587878;0.000812245;0.250677345;microtubule crosslinking factor 1;;;;
ENSRNOG00000033855;NA;177.2519912;0.485880035;-1.041327943;0.31202139;-3.337360757;0.000845781;0.250677345;NA;;;;
ENSRNOG00000020296;Atp5mk;1139.226013;2.340882301;1.227052398;0.369920512;3.317070444;0.000909667;0.252823528;ATP synthase membrane subunit K;;;;
ENSRNOG00000028335;Fat4;1221.844983;0.620275315;-0.689019384;0.207347052;-3.323024745;0.00089047;0.252823528;FAT atypical cadherin 4;;;;
ENSRNOG00000045913;Prdm16;2705.050138;0.676001132;-0.564902433;0.170119498;-3.32062133;0.000898173;0.252823528;PR/SET domain 16;;;;
ENSRNOG00000000640;Egr2;662.9182003;2.108158158;1.075983105;0.328601469;3.274431813;0.001058747;0.253538026;early growth response 2;;;;
ENSRNOG00000003178;Mageh1;740.9569161;0.673299132;-0.57068049;0.174475119;-3.270841674;0.001072279;0.253538026;MAGE family member H1;;;;
ENSRNOG00000011714;Sat2;654.8592868;0.673529415;-0.570187141;0.173088574;-3.294192842;0.000987048;0.253538026;spermidine/spermine N1-acetyltransferase family member 2;;;;
ENSRNOG00000014350;Ccn1;93.10560004;0.366557378;-1.447889052;0.441220726;-3.281552674;0.001032372;0.253538026;cellular communication network factor 1;;;;
ENSRNOG00000016362;Gpr4;258.9355989;1.79996261;0.847966939;0.257931055;3.28757209;0.001010553;0.253538026;G protein-coupled receptor 4;;;;
ENSRNOG00000016580;Rps23;6186.667808;0.687093365;-0.541421943;0.164444425;-3.29243113;0.000993252;0.253538026;ribosomal protein S23;;;;
ENSRNOG00000017808;Klf15;815.020137;0.625786688;-0.676257127;0.206546476;-3.274116024;0.001059931;0.253538026;KLF transcription factor 15;;;;
ENSRNOG00000047867;Klhdc8b;681.9578853;0.537241064;-0.896358513;0.271380189;-3.302962232;0.000956693;0.253538026;kelch domain containing 8B;;;;
ENSRNOG00000065968;Rn7sl1;42.22436241;0.180844374;-2.46717938;0.752571838;-3.278330724;0.00104423;0.253538026;RNA component of signal recognition particle 7SL1;;;;
ENSRNOG00000066701;Atp5mpl;62.60023311;0.321579026;-1.636754782;0.498399187;-3.284023779;0.001023363;0.253538026;ATP synthase membrane subunit 6.8PL;;;;
ENSRNOG00000014259;Mycl;374.0585731;0.606821567;-0.720655735;0.220926614;-3.261968852;0.001106413;0.254026011;MYCL proto-oncogene; bHLH transcription factor;;;
ENSRNOG00000024120;Rxfp1;1052.213566;1.602967582;0.680745249;0.20861046;3.263236413;0.001101476;0.254026011;relaxin family peptide receptor 1;;;;
ENSRNOG00000016977;Calb2;397.5186192;0.627659046;-0.671947016;0.207201151;-3.242969519;0.001182909;0.267709128;calbindin 2;;;;
ENSRNOG00000067032;NA;13.96624881;11.40394206;3.51146071;1.085713879;3.234241338;0.001219663;0.272139553;NA;;;;
ENSRNOG00000001757;Tm4sf19;110.6273306;0.544042819;-0.87820789;0.27322828;-3.214191045;0.001308126;0.28004504;transmembrane 4 L six family member 19;;;;
ENSRNOG00000006783;Neb;191.9475979;1.618440574;0.694604394;0.215972971;3.21616353;0.001299168;0.28004504;nebulin;;;;
ENSRNOG00000014871;Zic4;120.8309184;0.425991293;-1.231104152;0.382299389;-3.220261889;0.001280735;0.28004504;Zic family member 4;;;;
ENSRNOG00000003172;Serpinf1;165.5688236;0.453913718;-1.139510004;0.357310827;-3.189128119;0.001427026;0.297496462;serpin family F member 1;;;;
ENSRNOG00000026944;Gpr150;195.8894013;0.553703498;-0.852814458;0.267416027;-3.18909254;0.001427202;0.297496462;G protein-coupled receptor 150;;;;
ENSRNOG00000009243;Oaf;965.5213161;0.616366918;-0.698138665;0.219371751;-3.182445611;0.001460369;0.300456782;out at first homolog;;;;
ENSRNOG00000001130;Nos1;1037.551665;0.521760548;-0.938540234;0.295566998;-3.175389138;0.001496357;0.300586948;nitric oxide synthase 1;;;;
ENSRNOG00000015125;Spsb2;78.84791003;0.462837345;-1.111422818;0.350066924;-3.174886695;0.00149895;0.300586948;splA/ryanodine receptor domain and SOCS box containing 2;;;;
ENSRNOG00000015448;Dipk1c;400.176794;0.618010444;-0.694296877;0.219101852;-3.168831625;0.00153053;0.303083269;divergent protein kinase domain 1C;;;;
ENSRNOG00000016961;Rps27;2945.05557;0.695000908;-0.524913232;0.166449118;-3.15359576;0.001612723;0.306835058;ribosomal protein S27;;;;
ENSRNOG00000019065;Zfp385b;2428.282276;1.412378997;0.498127272;0.158013731;3.152430289;0.001619175;0.306835058;zinc finger protein 385B;;;;
ENSRNOG00000034075;Ube2ql1;5451.992729;1.401998084;0.487484377;0.154706292;3.151031363;0.00162695;0.306835058;ubiquitin-conjugating enzyme E2Q family-like 1;;;;
ENSRNOG00000049743;Gstm5;1207.152356;0.618991507;-0.692008481;0.218994176;-3.159940114;0.001578016;0.306835058;glutathione S-transferase; mu 5;;;
ENSRNOG00000002593;Esrrg;723.3227259;1.574255473;0.654669683;0.208163236;3.144982248;0.001660969;0.309565555;estrogen-related receptor gamma;;;;
ENSRNOG00000057147;Praf2;2001.222079;1.589774725;0.668822347;0.213157958;3.13768415;0.001702883;0.31368683;PRA1 domain family; member 2;;;
ENSRNOG00000000036;Klhdc8a;590.3859585;0.541328341;-0.885424173;0.28713146;-3.083689166;0.002044511;0.315614572;kelch domain containing 8A;;;;
ENSRNOG00000000611;Ube2d1;958.0876113;1.820844302;0.864607565;0.282023827;3.065725237;0.002171428;0.315614572;ubiquitin-conjugating enzyme E2D 1;;;;
ENSRNOG00000001199;Pop5;535.4548788;0.653099026;-0.614626337;0.203887512;-3.014536453;0.002573723;0.315614572;POP5 homolog; ribonuclease P/MRP subunit;;;
ENSRNOG00000001250;Lfng;730.7530263;0.481188494;-1.05532595;0.345130318;-3.057760779;0.002229975;0.315614572;LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase;;;;
ENSRNOG00000001793;Heg1;2992.785141;1.366075572;0.450037296;0.151035409;2.979680721;0.00288549;0.315614572;heart development protein with EGF-like domains 1;;;;
ENSRNOG00000001861;Ydjc;391.1965623;0.498952339;-1.003026082;0.33029386;-3.036768776;0.002391288;0.315614572;YdjC chitooligosaccharide deacetylase homolog;;;;
ENSRNOG00000003267;Pycr2;308.8140031;0.574117411;-0.800582288;0.265660703;-3.01355179;0.00258209;0.315614572;pyrroline-5-carboxylate reductase 2;;;;
ENSRNOG00000003401;NA;4627.10809;0.499850176;-1.000432366;0.320972771;-3.11687612;0.001827784;0.315614572;NA;;;;
ENSRNOG00000003755;Clgn;172.5331716;1.726261471;0.787651001;0.2636245;2.987776184;0.002810153;0.315614572;calmegin;;;;
ENSRNOG00000004155;Samd14;1166.485141;0.566033315;-0.821041127;0.264373149;-3.105614658;0.00189884;0.315614572;sterile alpha motif domain containing 14;;;;
ENSRNOG00000006037;Snap25;87834.75986;1.621785014;0.697582587;0.230468635;3.026800533;0.00247157;0.315614572;synaptosome associated protein 25;;;;
ENSRNOG00000007529;Bmf;289.5957393;0.546775743;-0.870978854;0.292116331;-2.981616436;0.00286731;0.315614572;Bcl2 modifying factor;;;;
ENSRNOG00000007636;Cadps2;3474.88623;1.365465646;0.449393017;0.15029307;2.990111365;0.002788758;0.315614572;calcium dependent secretion activator 2;;;;
ENSRNOG00000007743;Mgst1;166.005343;0.591824519;-0.756758627;0.248234866;-3.04855897;0.002299418;0.315614572;microsomal glutathione S-transferase 1;;;;
ENSRNOG00000008169;Slc24a2;11595.34624;1.623933573;0.699492621;0.224274995;3.118905965;0.001815239;0.315614572;solute carrier family 24 member 2;;;;
ENSRNOG00000008911;Draxin;126.1874787;0.370528807;-1.432342384;0.472302724;-3.032678645;0.002423936;0.315614572;dorsal inhibitory axon guidance protein;;;;
ENSRNOG00000008947;Cpz;25.60264279;0.099877781;-3.323692424;1.092303486;-3.042828726;0.002343657;0.315614572;carboxypeptidase Z;;;;
ENSRNOG00000009113;Marcksl1;1654.722371;0.593685269;-0.752229778;0.252281204;-2.981711545;0.002866419;0.315614572;MARCKS-like 1;;;;
ENSRNOG00000009439;Eef1a1;36158.50484;0.741709407;-0.431074028;0.141852875;-3.038881146;0.002374585;0.315614572;eukaryotic translation elongation factor 1 alpha 1;;;;
ENSRNOG00000011642;Tfap2d;15.44689256;15.85845189;3.987180036;1.299681975;3.067812059;0.002156322;0.315614572;transcription factor AP-2 delta;;;;
ENSRNOG00000012329;Saraf;4176.0695;0.714263424;-0.485471849;0.156571531;-3.100639346;0.001931033;0.315614572;store-operated calcium entry-associated regulatory factor;;;;
ENSRNOG00000013290;Nrip3;5989.93121;1.446296148;0.532362993;0.175941621;3.025793378;0.002479817;0.315614572;nuclear receptor interacting protein 3;;;;
ENSRNOG00000013869;Kcnj4;2608.187751;0.522137383;-0.937498642;0.302956427;-3.094499926;0.00197145;0.315614572;potassium inwardly-rectifying channel; subfamily J; member 4;;
ENSRNOG00000013928;Dsp;101.2775997;1.748601857;0.806201837;0.265073432;3.041428296;0.002354586;0.315614572;desmoplakin;;;;
ENSRNOG00000014179;Rps2;1960.272321;0.500332;-0.999042368;0.329276682;-3.034051368;0.002412933;0.315614572;ribosomal protein S2;;;;
ENSRNOG00000014296;Syt10;222.3518507;1.557146622;0.638904796;0.212998605;2.999572676;0.002703586;0.315614572;synaptotagmin 10;;;;
ENSRNOG00000014385;Wnt2b;13.74330887;0.074755922;-3.741668328;1.21786534;-3.07231695;0.002124041;0.315614572;Wnt family member 2B;;;;
ENSRNOG00000014963;Adgrg1;5735.623823;0.720187372;-0.473555793;0.159171378;-2.97513157;0.002928629;0.315614572;adhesion G protein-coupled receptor G1;;;;
ENSRNOG00000015295;Ctdsp1;1089.44695;0.620923398;-0.687512798;0.228385246;-3.010320536;0.002609721;0.315614572;CTD small phosphatase 1;;;;
ENSRNOG00000015987;Rap1gds1;9617.935428;1.373975616;0.4583564;0.147378172;3.1100698;0.001870431;0.315614572;Rap1 GTPase-GDP dissociation stimulator 1;;;;
ENSRNOG00000016724;Epb41l3;7458.076422;1.53613021;0.619300511;0.200473281;3.08919227;0.002007015;0.315614572;erythrocyte membrane protein band 4.1-like 3;;;;
ENSRNOG00000016892;Nr2f6;502.1220717;0.528165786;-0.920937246;0.30866998;-2.983565965;0.002849106;0.315614572;nuclear receptor subfamily 2; group F; member 6;;
ENSRNOG00000017072;Slc16a14;302.4565773;1.655670023;0.727415171;0.234140572;3.106745506;0.001891592;0.315614572;solute carrier family 16; member 14;;;
ENSRNOG00000017876;Dnajc21;1998.499528;1.731709484;0.79219692;0.260241173;3.044087567;0.002333872;0.315614572;DnaJ heat shock protein family (Hsp40) member C21;;;;
ENSRNOG00000019106;Rps17;577.3649027;0.670928403;-0.575769275;0.18820592;-3.059251673;0.002218907;0.315614572;ribosomal protein S17;;;;
ENSRNOG00000019536;Smim3;399.6629365;0.651734011;-0.617644809;0.198461485;-3.112164604;0.001857209;0.315614572;small integral membrane protein 3;;;;
ENSRNOG00000019549;Akap12;1983.321358;1.562145984;0.643529281;0.213022891;3.020939573;0.002519916;0.315614572;A-kinase anchoring protein 12;;;;
ENSRNOG00000019692;Metrn;546.7969853;0.431133584;-1.213793147;0.401878217;-3.020300918;0.002525237;0.315614572;meteorin; glial cell differentiation regulator;;;
ENSRNOG00000021745;Bhlhe22;1189.574252;0.592660102;-0.754723157;0.250451161;-3.01345442;0.002582918;0.315614572;basic helix-loop-helix family; member e22;;;
ENSRNOG00000021839;Cep126;1212.388092;1.491016097;0.576295833;0.186651079;3.087556925;0.002018091;0.315614572;centrosomal protein 126;;;;
ENSRNOG00000022406;Cylc2;59.85956044;3.103757913;1.634016035;0.542107985;3.014189203;0.002576671;0.315614572;cylicin 2;;;;
ENSRNOG00000022711;Slco4c1;474.8992488;1.445839898;0.531907807;0.17425146;3.052529987;0.002269211;0.315614572;solute carrier organic anion transporter family; member 4C1;;;
ENSRNOG00000025179;Rpl13a-ps2;501.6011207;0.610337273;-0.712321397;0.236601619;-3.010636195;0.00260701;0.315614572;ribosomal protein L13A; pseudogene 2;;;
ENSRNOG00000025406;Iqgap2;1315.82603;1.469186731;0.555017772;0.177907161;3.119704499;0.001810326;0.315614572;IQ motif containing GTPase activating protein 2;;;;
ENSRNOG00000025448;Limd2;1174.534747;0.564861709;-0.824030388;0.266400938;-3.093196266;0.001980131;0.315614572;LIM domain containing 2;;;;
ENSRNOG00000026770;Tspy26;500.215998;0.577919373;-0.791059862;0.263810458;-2.99859175;0.002712305;0.315614572;testis specific protein; Y-linked 26;;;
ENSRNOG00000026978;Oscp1;6844.654072;0.630819512;-0.664700809;0.214635821;-3.096877331;0.001955708;0.315614572;organic solute carrier partner 1;;;;
ENSRNOG00000030530;Gzmm;205.076846;0.492713859;-1.021178043;0.341496076;-2.990306813;0.002786974;0.315614572;granzyme M;;;;
ENSRNOG00000031834;Nkain4;1073.820085;0.600534579;-0.735680775;0.246336579;-2.986486123;0.002822036;0.315614572;Sodium/potassium transporting ATPase interacting 4;;;;
ENSRNOG00000037815;Aldh2;2443.812158;0.642783657;-0.637594847;0.213911368;-2.980649655;0.002876377;0.315614572;aldehyde dehydrogenase 2 family member;;;;
ENSRNOG00000039876;NA;988.1997489;0.497043719;-1.00855534;0.331536243;-3.042066625;0.002349599;0.315614572;NA;;;;
ENSRNOG00000047158;Selenbp1;171.8240085;0.560300964;-0.835726121;0.280554286;-2.978839261;0.002893425;0.315614572;selenium binding protein 1;;;;
ENSRNOG00000052070;Aldh1a3;48.01533661;0.194657298;-2.360991662;0.764169209;-3.089618939;0.002004134;0.315614572;aldehyde dehydrogenase 1 family; member A3;;;
ENSRNOG00000053239;Clmp;990.9859023;1.465035263;0.55093539;0.182996241;3.010637737;0.002606997;0.315614572;CXADR-like membrane protein;;;;
ENSRNOG00000060179;Gpc3;446.5990188;0.109063011;-3.196766206;1.062987473;-3.007341373;0.002635436;0.315614572;glypican 3;;;;
ENSRNOG00000061519;Asap2;4693.902887;1.357306675;0.440746726;0.145677539;3.025495405;0.002482262;0.315614572;ArfGAP with SH3 domain; ankyrin repeat and PH domain 2;;;
ENSRNOG00000063954;NA;66.21031999;2.291733845;1.196439503;0.393323672;3.041870067;0.002351134;0.315614572;NA;;;;
ENSRNOG00000064880;Sgsh;132.7632934;0.613924203;-0.703867548;0.235983343;-2.982700138;0.002857178;0.315614572;N-sulfoglucosamine sulfohydrolase;;;;
ENSRNOG00000065340;NA;701.9723055;1.451537354;0.537581699;0.177619628;3.02658948;0.002473296;0.315614572;NA;;;;
ENSRNOG00000067837;NA;468.5154293;1.450228093;0.536279827;0.180250353;2.975194324;0.00292803;0.315614572;NA;;;;
ENSRNOG00000068887;Ddt;1774.577965;0.700308995;-0.513936476;0.171256031;-3.000983228;0.002691094;0.315614572;D-dopachrome tautomerase;;;;
ENSRNOG00000007338;Fbln2;528.1471271;0.62789435;-0.671406265;0.226297505;-2.966918543;0.003008006;0.321978631;fibulin 2;;;;
ENSRNOG00000011647;S100a6;52.23840537;0.353412831;-1.500573675;0.506846067;-2.960610276;0.003070302;0.324264811;S100 calcium binding protein A6;;;;
ENSRNOG00000019244;Mxra8;235.4827574;0.535701811;-0.900497922;0.304082708;-2.961358532;0.003062852;0.324264811;matrix remodeling associated 8;;;;
ENSRNOG00000006720;Rnpep;1790.866928;0.666605625;-0.585094603;0.198533581;-2.9470813;0.003207889;0.33433796;arginyl aminopeptidase;;;;
ENSRNOG00000055568;NA;1178.585158;1.854787013;0.89125353;0.302415255;2.947118295;0.003207505;0.33433796;NA;;;;
ENSRNOG00000001177;Acads;341.5405616;0.489419127;-1.030857611;0.350247065;-2.943229836;0.003248072;0.335731391;acyl-CoA dehydrogenase short chain;;;;
ENSRNOG00000018958;Mt3;3038.269252;0.494523923;-1.01588778;0.345334619;-2.941749029;0.003263643;0.335731391;metallothionein 3;;;;
ENSRNOG00000013874;Rplp1;3033.97158;0.581564494;-0.781988904;0.266812747;-2.930852868;0.003380328;0.342726411;ribosomal protein lateral stalk subunit P1;;;;
ENSRNOG00000024677;Arhgap33;5505.042819;0.60029373;-0.736259495;0.251042899;-2.932803507;0.003359164;0.342726411;Rho GTPase activating protein 33;;;;
ENSRNOG00000034240;Bcor;1142.947629;1.418918526;0.504791752;0.17232117;2.929365861;0.003396544;0.342726411;BCL6 co-repressor;;;;
ENSRNOG00000015496;Tpm4;1674.197621;1.346691776;0.429419692;0.146743403;2.92633047;0.003429864;0.34389812;tropomyosin 4;;;;
ENSRNOG00000054493;Rpph1;22.79055282;0.220949986;-2.178208256;0.746443404;-2.918115752;0.003521536;0.350869013;ribonuclease P RNA component H1;;;;
ENSRNOG00000028658;Olig2;654.5161808;0.597450449;-0.74310903;0.25532522;-2.910441161;0.003609189;0.357354842;oligodendrocyte transcription factor 2;;;;
ENSRNOG00000001148;Rplp0;6623.47276;0.629320687;-0.668132727;0.230136892;-2.903196969;0.003693742;0.363455078;ribosomal protein lateral stalk subunit P0;;;;
ENSRNOG00000001259;Cux2;3589.85159;0.69747586;-0.519784809;0.179916346;-2.889036047;0.003864248;0.37344397;cut-like homeobox 2;;;;
ENSRNOG00000012749;C1qb;640.8021582;0.652004024;-0.617047227;0.213592794;-2.888895341;0.003865977;0.37344397;complement C1q B chain;;;;
ENSRNOG00000015616;Rgs14;1377.984499;0.675380972;-0.56622656;0.195867099;-2.890871228;0.003841755;0.37344397;regulator of G-protein signaling 14;;;;
ENSRNOG00000019979;B3galt6;278.1796035;0.665898577;-0.586625638;0.203211483;-2.886774061;0.003892136;0.373692247;Beta-1;3-galactosyltransferase 6;;;
ENSRNOG00000019858;Rom1;88.19256488;0.521571912;-0.939061915;0.325772639;-2.882568399;0.003944475;0.374238368;retinal outer segment membrane protein 1;;;;
ENSRNOG00000066731;NA;175.4241989;2.205965804;1.141410427;0.395976472;2.882520828;0.003945071;0.374238368;NA;;;;
ENSRNOG00000006548;Mrc2;525.3404193;0.496392166;-1.010447749;0.351588711;-2.873948219;0.004053754;0.375553064;mannose receptor; C type 2;;;
ENSRNOG00000016897;Rlbp1;1075.842682;0.679526607;-0.557398054;0.193926786;-2.874270564;0.004049619;0.375553064;retinaldehyde binding protein 1;;;;
ENSRNOG00000019453;Rps5;2264.181058;0.726591611;-0.460783386;0.160073859;-2.878567356;0.00399486;0.375553064;ribosomal protein S5;;;;
ENSRNOG00000068984;Gbp1;24.34834076;3.264130196;1.706698603;0.593352612;2.876364862;0.004022844;0.375553064;guanylate binding protein 1;;;;
ENSRNOG00000005203;Sec61g;549.6536021;0.674641643;-0.567806722;0.197989287;-2.867865887;0.004132507;0.380623084;Sec61 translocon subunit gamma;;;;
ENSRNOG00000010780;Dlc1;2862.870179;1.316400076;0.396598014;0.138434122;2.864886272;0.00417159;0.380738981;DLC1 Rho GTPase activating protein;;;;
ENSRNOG00000069961;LOC103690996;207.123499;0.568008647;-0.816015202;0.284910599;-2.864109667;0.004181832;0.380738981;uncharacterized LOC103690996;;;;
ENSRNOG00000050794;Pdlim4;660.2629166;0.690654186;-0.533964568;0.186733315;-2.859503509;0.004243047;0.384104882;PDZ and LIM domain 4;;;;
ENSRNOG00000007390;Nfkbia;773.4506896;0.696009145;-0.522821832;0.182997873;-2.856983101;0.004276886;0.384968349;NFKB inhibitor alpha;;;;
